nimi;voimassaolon_alkamispaiva
1.1. Anestesian anto;2022-06-01
2.1. Yhden keuhkon anestesia;2022-06-01
2.2. Postoperatiivisen hoidon suunnittelu (kivunhoito ja nestehoito);2022-06-01
3.1. Sepelvaltimotauti;2022-06-01
3.2. Läppäkirurgia;2022-06-01
3.3. Postoperatiivisen hoidon suunnittelu (kivunhoito ja nestehoito);2022-06-01
4.1. Aivokasvaimet (supratentoriaalinen / infratentoriaalinen / intraspinaalinen);2022-06-01
4.2. SAV-potilaan hoito leikkausosastolla tai angiolaboratoriossa;2022-06-01
4.3. AV-malformaatiopotilaan hoito leikkausosastolla tai angiolaboratoriossa;2022-06-01
4.4. Korkeat kaularangan luudutusleikkaukset;2022-06-01
4.5. Thorakaali- ja lannerangan luudutusleikkaukset;2022-06-01
4.6. Vertebroplastiat;2022-06-01
5.1. Shunttipotilaat (akuutti vs. normaalipaineinen hydrokefalus) ja 3.kammion puhkaisu;2022-06-01
5.2. Ventrikulostomia;2022-06-01
5.3. Postoperatiivisen hoidon suunnittelu (kivunhoito ja nestehoito);2022-06-01
6.1. vammapotilaat (akuutit subduraali-, epiduraali-, IC-vuodot);2022-06-01
6.2. akuutti discus prolapsi-potilas;2022-06-01
6.3. laminektomiat (akuutit halvausoireet);2022-06-01
6.4. Neuronavigaatiobiopsiat;2022-06-01
6.5. Akuutti neurokiruginen potilas päivystyspoliklinikalla ja rtg-osastolla;2022-06-01
6.6. Postoperatiivinen valvonta;2022-06-01
6.7. Trombektomia;2022-06-01
6.8. MRI-kuvantaminen;2022-06-01
7.1. Infrainguinaalinen valtimokirurgian anestesiat;2022-06-01
7.2. Karotiskirurgian anestesia;2022-06-01
7.3. Vatsa-aortan kirurgian anestesia;2022-06-01
7.4. Dialyysitiekirurgian anestesia;2022-06-01
7.5. Hydriditoimenpiteiden anestesia;2022-06-01
7.6. Postoperatiivisen hoidon suunnittelu (kivunhoito ja nestehoito;2022-06-01
8.1. Urologinen PÄIKI-potilas;2022-06-01
8.2. TURP;2022-06-01
8.3. TURB erityispiirteet;2022-06-01
8.4. Munuaistuumorikirurgia (B);2022-06-01
8.5. Prostatektomia, RALP, avoin;2022-06-01
8.6. Rakkodiversiot (C);2022-06-01
8.7. Postoperatiivisen hoidon suunnittelu (kivunhoito ja nestehoito;2022-06-01
9.1. Anestesia ruokatorvikirurgiassa;2022-06-01
9.2. Anestesia mahalaukun kirurgiassa;2022-06-01
9.3. Anestesia sappirakon ja maksan kirurgiassa;2022-06-01
9.4. Anestesia haimakirurgiassa;2022-06-01
9.5. Anestesia kolorektaalikirurgiassa;2022-06-01
9.6. Anestesia lihavuuskirurgiassa;2022-06-01
9.7. Päivystystoimenpiteen anestesia, aspiraatioriskissä olevan potilaan anestesia;2022-06-01
9.8. Obeesin potilaan anestesia;2022-06-01
9.9. Postoperatiivisen hoidon suunnittelu (kivunhoito ja nestehoito;2022-06-01
10.1. Mikrovaskulaarikirurgian (esim. TRAM-leikkaukset) anestesiologiset periaatteet;2022-06-01
10.2. Postoperatiivisen hoidon suunnittelu (kivunhoito ja nestehoito;2022-06-01
11.1. Ortopedis-traumatologisen potilaan yleisanestesia tai johtopuudutus (yläraaja, lonkka, sääri, nilkka);2022-06-01
11.2. Monivamman anestesia;2022-06-01
11.3. Postoperatiivisen hoidon suunnittelu (kivunhoito ja nestehoito;2022-06-01
12.1. Risakirurgian anestesia;2022-06-01
12.2. Korvaleikkausten anestesia;2022-06-01
12.3. FESS-toimenpiteiden ja muun rhinologisen kirurgian anestesia;2022-06-01
12.4. Kurkunpäätoimenpiteiden anestesia yleisesti;2022-06-01
12.5. Spontaanihengitystekniikoiden käyttö kurkunpäätoimenpiteissä;2022-06-01
12.6. Bronkoskopioiden anestesia;2022-06-01
12.7. Neuro-otologisten toimenpiteiden anestesia;2022-06-01
12.8. Mikrovaskulaarisiirreleikkausten anestesia;2022-06-01
12.9. Postoperatiivisen hoidon suunnittelu (kivunhoito ja nestehoito;2022-06-01
13.1. Epiduraalipuudutus (L- ja Th-ranka);2022-06-01
13.2. Spinaalipuudutus;2022-06-01
13.3. Hartiapunoksen interskaleeninen puudutus;2022-06-01
13.4. Hartiapunoksen supra- tai infraklavikulaarinen puudutus;2022-06-01
13.5. Alaraajan johtopuudutukset (poplitea, safena, femoralis);2022-06-01
14.1. Gynekologisten elektiivisten leikkausten (mukaan lukien radikaalisyöpä- ja endometrioosileikkaukset) anestesiat;2022-06-01
14.2. Keisarileikkaus (yleisanestesia);2022-06-01
14.3. Keisarileikkaus (regionaalianestesia);2022-06-01
14.4. Epiduraalipuudutus synnytyskivun lievitykseen;2022-06-01
14.5. Postoperatiivisen hoidon suunnittelu (kivunhoito ja nestehoito;2022-06-01
15.1. Conn/Cushing/Pheokromosytoomapotilaan anestesia;2022-06-01
15.2. Lisäkilpirauhaspotilaan anestesia;2022-06-01
15.3. Kilpirauhaspotilaan anestesia (erityishuomio tyreotoksikoosipotilaan anestesiologinen hoito);2022-06-01
15.4. Postoperatiivisen hoidon suunnittelu (kivunhoito ja nestehoito;2022-06-01
16.1. Keinonivelleikkausten anestesiat;2022-06-01
16.2. Jalkateräkirurgian anestesia;2022-06-01
16.3. Olkapääkirurgian anestesia;2022-06-01
16.4. Selkäkirurgian anestesia;2022-06-01
16.5. Postoperatiivisen hoidon suunnittelu (kivunhoito ja nestehoito;2022-06-01
17.1. Valtimon kanylointi (lapset);2022-06-01
17.2. Lasten anestesia (< 1 v);2022-06-01
17.3. Lasten anestesia (1 – 5 v);2022-06-01
17.4. Epiduraalipuudutus;2022-06-01
17.5. Postoperatiivisen hoidon suunnittelu (kivunhoito ja nestehoito;2022-06-01
18.1. Fiberoskooppinen intubaatio;2022-06-01
18.2. Bronkoskopia;2022-06-01
19.1. Valtimon kanylointi (aikuiset);2022-06-01
19.2. Keskuslaskimon kanylointi;2022-06-01
19.3. Infuusioportin laitto;2022-06-01

