id;nimi;voimassaolon_alkamispaiva;erikoisala_id
900;Ihotautien diagnostiikka ja hoidot;2021-11-24;9
901;Ihotautien hoidot;2021-11-24;9
902;Kroonisen haavan diagnostiikka ja hoidot;2021-11-24;9
903;UV-valohoidot;2021-11-24;9
904;Ihoallergologia;2021-11-24;9
905;Toimenpiteet;2021-11-24;9
906;Vaativa dermatokirurgia;2021-11-24;9
907;Kryo-nestetyppijäädytys (tehnyt);2021-11-24;9
908;Laserhoidot (Nähnyt tai tehnyt);2021-11-24;9
909;Fotodynaaminen terapia;2021-11-24;9
910;Botuliinitoksiini-injektiot (nähnyt tai tehnyt);2021-11-24;9
911;Seksitaudit;2021-11-24;9
