nimi;kuvaus;voimassaolo_alkaa
Lastenneurologinen kliininen tutkimus;"<h3>Lastenneurologinen kliininen tutkimus</h3>
<h4>Kuvaus</h4>
Lapselle tehdään lastenneurologinen kliininen tutkimus yhdistäen esitiedot ja systemaattinen lapsen ikä sekä kehitykselliset taidot huomioiva neurologinen kliininen tutkimus.
<h4>CanMEDS osa-alueet</h4>
<ul>
<li>Ammatillisuus</li>
<li>Oma-osaaminen ja tiedonhallinta</li>
<li>Vuorovaikutus</li>
<li>Yhteistyötaidot</li>
</ul>
<h4>Tarvittava osaaminen</h4>
<ol>
<li>Lapsen normaalin ja poikkeavan neurologisen kehityksen tuntemus eri ikäkausina</li>
<li>Tietää esitietojen keräämisen kannalta olennaiset tekijät, jotka voivat vaikuttaa lapsen kehitykseen</li>
<li>Osaa neurologiset ikäkausispesifiset tutkimusmenetelmät (esimerkiksi Hammersmith Neonatal/Infant Neurological Examination (HNNE, HINE))</li>
</ol>
<h4>Oppimismenetelmät</h4>
<ol>
<li>Erikoistuvan henkilökohtainen ohjaus</li>
<li>Erikoislääkärin seuranta</li>
</ol>
<h4>Osaamisen arviointi</h4>
<ol>
<li>Mini-CEX</li>
<li>Toiminnan suora havainnointi</li>
</ol>
<h4>Osaa toimia itsenäisesti</h4>
<ol>
<li>Osaa organisoida vastaanottokäynnin lapsen toiminnan, havainnoinnin, tutkimisen ja vanhempien haastattelun kannalta mielekkäästi</li>
<li>Erikoistuva kykenee olemaan lapsen kanssa hyvässä vuorovaikutuksessa ja luomaan lapselle kliinisen tutkimuksen mahdollistavan turvallisen ja luottamuksellisen ilmapiirin.</li>
<li>Kerää asiayhteyteen nähden riittävät esitiedot johdonmukaisella tavalla lapsen, nuoren ja vanhempien haastattelulla ja hyödyntämällä muun moniammatillisen työryhmän keräämiä esitietoja, palautteita lapsen toimintaympäristöstä (esimerkiksi koti, päivähoito, koulu) sekä potilastietojärjestelmän aiempia tietoja.</li>
<li>Suorittaa kliinisen tutkimuksen loogisessa järjestyksessä ja sujuvasti kohdentaen, sillä laajuudella, kun tilanteeseen ja potilaan käynnin syyn mukaan on tarkoituksenmukaista</li>
<li>Erikoistuva osaa yksilöidä normaalit ja poikkeavat statuslöydökset sekä arvioida poikkeavien löydösten neuroanatomisen perustan</li>
<li>Osaa jäsentää ja laatia sairauskertomusmerkinnät strukturoidulla tavalla</li>
</ol>";2020-08-01
Lastenneurologinen vastasyntyneen konsultaatio (alle 1 kk);"<h3>Lastenneurologinen vastasyntyneen konsultaatio (alle 1 kk)</h3>

<h4>Kuvaus</h4>
Vastasyntyneen neurologisen tutkimuksen tekeminen sekä sairauksien hoito ja tutkimukset. Tutkimusten ja hoidon järjestäminen tapahtuu useimmiten vastasyntyneiden teho-osastolla yhteistyönä potilaan hoidosta vastaavien neonatologien ja muun hoitohenkilökunnan kanssa. Keskeistä on vuorovaikutustaidot vastasyntyneen vanhempien kanssa.

<h4>Keskeiset CanMEDS osa-alueet</h4>
<ul>
<li>Oma-osaaminen ja tiedonhallinta</li>
<li>Ammatillisuus</li>
<li>Yhteistyötaidot</li>
<li>Vuorovaikutustaidot</li>
</ul>

<h4>Tarvittava osaaminen</h4>
<ol>
<li>Hermoston kehityksen tunteminen</li>
<li>Vastasyntyneen neurologinen tutkiminen käyttäen strukturoitua tutkimusmenetelmää (esimerkiksi HNNE)</li>
<li>Vastasyntyneisyysvaiheeseen liittyvien neurologisten komplikaatioiden tietäminen sekä niiden ennusteen tunteminen (esimerkiksi vastasyntyneen asfyksia)</li>
<li>Vastasyntyneiden kohtausoireiden erityispiirteet sekä diagnostiikka, erotusdiagnostiikka ja hoito</li>
<li>Tietämys kuvantamis- ja neurofysiologisten tutkimusten erityispiirteistä vastasyntyneillä potilailla</li>
<li>Amplitudi-integroidun jatkuvan EEG rekisteröinnin (aEEG) käyttö ja tulkinta pääpiirteittäin</li>
<li>Toimiminen vastasyntyneen tehohoidossa neurologian konsulttina</li>
<li>Vuorovaikutus vanhempien kanssa – diagnoosin kertominen ja ennusteen arviointi</li>
<li>Hallitsee EPA:n - 24 Haasteellisissa vuorovaikutustilanteissa toimiminen</li>
</ol>

<h4>Oppimismenetelmät</h4>
<ol>
<li>Toimintaan osallistuminen erikoislääkärin, ohjaajan opastama toimipaikkakoulutuksena</li>
<li>Vastasyntyneen tutkimuksen koulutukset</li>
<li>Potilastapausten läpikäynti, henkilökohtainen opetus</li>
<li>Klinikkameetingit (potilastapaus, radiologia, kliininen neurofysiologia)</li>
<li>Toimipaikan teoriakoulutus</li>
</ol>

<h4>Osaamisen arviointi</h4>
<ol>
<li>Mini-CEX</li>
<li>Potilastapauskeskustelut</li>
<li>360 asteen palaute potilailta ja työyhteisöstä</li>
</ol>

<h4>Osaa toimia itsenäisesti</h4>
<ol>
<li>Osaa tehdä vastasyntyneen neurologisen tutkimuksen strukturoidulla tutkimusmenetelmällä</li>
<li>Osaa hoitaa vastasyntyneen akuutit kohtausoireet ja suunnitella tarvittavat etiologiset tutkimukset</li>
<li>Osaa toimia vaikeasti sairaan vastasyntyneen hoidosta vastaavassa työryhmässä lastenneurologian asiantuntijana</li>
<li>Osaa kertoa vanhemmille ymmärrettävästi vastasyntyneen neurologisesta ennusteesta yhdistäen esitietoja, lapsen nykytilan ja etiologisilla lisätutkimuksilla saatuja tietoja</li>
<li>Osaa huomioida vanhempien tuentarpeen yhdessä osaston muun henkilökunnan kanssa</li>
<li>Osaa suunnitella jatko- ja kehitysseurannan</li>
</ol>";2020-08-01
Sikiötutkimusyksikön konsulaatio;"<h3>Sikiötutkimusyksikön konsultaatio</h3>

<h4>Kuvaus</h4>
Sikiöiden rakenne-, kromosomi- ja geneettisten sairauksien seulonta ja diagnostiikka tapahtuu perinatologin ja perinnöllisyyslääkärin yhteistyönä. Lastenneurologista konsultaatiota tarvitaan, kun vanhemmat tarvitsevat tietoa löydöksen merkityksen arvioinnissa lapsen kehitykseen, oppimiseen ja toimintakykyyn.

<h4>CanMEDS osa-alueet</h4>
<ul>
<li>Oma-osaaminen ja tiedon hallinta
<li>Yhteistyötaidot
<li>Vuorovaikutustaidot
</ul>

<h4>Tarvittava osaaminen</h4>
<ol>
<li>Sikiön ja lapsen keskushermoston normaali ja poikkeava neuroanatominen kehitys</li>
<li> Yleisimpien kehitysvammaoireyhtymien ja keskushermoston rakennepoikkeavuuksien tunteminen ja niiden vaikutus lapsen kehitykseen</li>
<li>Sikiöiden seulontatutkimusten tunteminen sekä laboratorio- ja kuvantamislöydösten terminologian ymmärtäminen</li>
<li>Todetun löydöksen suhteen syntymättömän lapsen kehitysennusteen arviointi</li>
<li>Toimiminen moniammatillisessa tiimissä lastenneurologian asiantuntijana</li>
</ol>

<h4>Oppimismenetelmät</h4>
<ol>
<li>Teoriaopetus</li>
<li>Potilastapauskeskustelut</li>
<li>Moniammatilliset klinikkameetingit</li>
</ol>

<h4>Arviointimenetelmät</h4>
<ol>
<li>Potilastapauskeskustelut</li>
<li>Mini-CEX</li>
</ol>

<h4>Osaa toimia itsenäisesti</h4>
<ol>
<li>Erikoistuva tuntee tavallisimmat aivojen kehitykselliset rakennepoikkeavuudet ja tietää niiden vaikutuksen lapsen kehitykseen.
<li>Erikoistuva osaa muodostaa todetun seulontapoikkeavuuden pohjalta käsityksen lapsen kehitysennusteesta moniammatillisena yhteistyönä hyödyntämällä myös ajantasaista tutkimustietoa
<li>Erikoistuva osaa ymmärrettävällä, konkreettisella tavalla tutkimustiedon rajoissa kertoa vanhemmille, miten löydös voi ilmetä eri kehityksen osa-alueilla ja siten vaikuttaa lapsen oppimis- ja toimintakykyyn, osallisuuteen sekä itsenäiseen selviytymiseen (esim. kehitysvammaisuuden eri asteet)
<li>Hallitsee EPA:n - 24 Haasteellisissa vuorovaikutustilanteissa toimiminen
</ol>";2020-08-01
Akuuttineurologisen potilaan hoito ja konsultointi (yli 1 kk);"<h3>Akuuttineurologisen potilaan hoito ja konsultointi (yli 1 kk)</h3>

<h4>Kuvaus</h4>
Akuuttineurologisen potilaan oireiden erotusdiagnostiikka ja hoidon suunnittelu. Toiminta tapahtuu usein osana moniammatillista työryhmää päivystyspoliklinikalla, vuode- tai teho-osastolla. Keskitytään neurologisiin tutkimuksiin ja hoitoon. Keskeistä yhteistyötaidot moniammatillisessa työryhmässä ja vuorovaikutus vanhempien kanssa. Toiminta moniammatillisessa akuuttityöryhmässä lastenneurologian asiantuntijana.

<h4>Keskeiset CanMEDS osa-alueet</h4>
<ul>
<li>Oma osaaminen ja tiedonhallinta</li>
<li>Vuorovaikutustaidot</li>
<li>Yhteistyötaidot</li>
<li>Ammatillisuus</li>
</ul>

<h4>Tarvittava osaaminen</h4>
<ol>
<li>Tietämys akuuteista lastenneurologisista sairauksista ja niiden hoidosta</li>
<ol style=""list-style-type: lower-latin;"">
<li>Vaikea päänsärky</li>
<li>EPA 10 Pitkittyneen epileptisen kohtauksen hoito</li>
<li>Keskus- ja ääreishermoston immunologiset ja infektioperäiset tulehdukselliset sairaudet</li>
<li>Akuutit keskushermoston verenkiertohäiriöt</li>
<li>Kohonneen aivopaineen konservatiivinen hoito</li>
<li>Neurologisten sairauksien akuutit pahenemistilat – esimerkiksi myasteeninen kriisi, demyelinisoivien tautien pahenemisvaiheet</li>
<li>Akuutit aivovammat</li>
</ol>
<li>Tietämys muista kuin ensisijaisesti neurologisiin sairaustiloihin liittyvistä neurologisista ongelmista ja komplikaatiosta - metaboliset sairaudet, syöpäpotilaat, tehohoitopotilaat, monisairaat potilaat</li>
<li>Osaa tehdä neurologisen statuksen kaiken ikäisille lapsille sekä arvioimaan pediatrisen Glasgow coma scale’n (GCS)</li>
<li>Tietämys toiminnallisten oireista, niiden tunnistaminen ja hoidon järjestäminen</li>
<li>Tietämys hoidon rajaamiseen liittyvistä seikoista</li>
<li>EPA - 27 Elämän loppuvaiheen hoidon järjestäminen</li>
<li>EPA - 23 Lastenneurologiset toimenpiteet - Aivokuoleman toteaminen</li>
</ol>

<h4>Oppimismenetelmät</h4>
<ol>
<li>Simulaatioharjoituksiin osallistuminen</li>
<li>Toimintaan osallistuminen seniorin ohjauksella toimipaikkakoulutuksena</li>
<li>Potilastapausten läpikäynti</li>
</ol>

<h4>Osaamisen arviointi</h4>
<ol>
<li>Mini-CEX</li>
<li>Potilastapauskeskustelut</li>
<li>360 asteen palaute potilailta ja työyhteisöstä</li>
</ol>

<h4>Osaa toimia itsenäisesti</h4>
<ol>
<li>Tunnistaa lastenneurologiset akuutit sairaustilat ja tuntee niiden tutkimus- ja hoitolinjat sekä toimipaikan sisäiset ohjeistukset</li>
<li>Kykenee hyvässä yhteistyössä suunnittelemaan tarvittavat diagnostiset tutkimukset ja hoidon muun työryhmän kanssa (esimerkiksi sairaanhoitajat, anestesialääkärit, lastenlääkärit, diagnostisten alojen lääkärit)</li>
<li>Kykenee tarvittaessa johtamaan hoitotiimiä</li>
<li>Huomio lapsen vanhemmat ja tunnistaa mahdollisen psyykkisen tuen tarpeen, osaa kertoa vanhemmille ymmärrettävästi lapsen tilan, diagnostisten tutkimusten merkityksen ja sairauden ennusteen</li>
</ol>";2020-08-01
Akuutin vaikean aivo-ja selkäydinvamman hoito ja kuntoutus;"<h3>Akuutin vaikean aivo- ja selkäydinvamman hoito ja kuntoutus</h3>

<h4>Kuvaus</h4>
Vaikeat aivo- ja selkäydinvammapotilaat tarvitsevat tyypillisesti aluksi moniammatillista tehohoitoa (mm. anestesiologia, neuro- ja lastenkirurgia, lastentaudit) ja heille tehdään usein neurokirurgisia toimenpiteitä (mm. ventrikulostomia, hemikraniektomia). Teho-hoitovaiheen jälkeen osasto- tai kuntoutusjakso lasten osastolla voi kestää viikkoja ennen kotiutumista. Hoito edellyttää moniammatillista tiimiä kaikissa sairaalahoidon vaiheissa

<h4>CanMEDS osa-alueet</h4>
<ul>
<li>Oma osaaminen ja tiedonhallinta</li>
<li>Ammatillisuus</li>
<li>Vuorovaikutustaidot</li>
<li>Yhteistyötaidot</li>
</ul>

<h4>Tarvittava osaaminen</h4>
<ol>
<li>Tuntee neuroanatomian ja lasten aivo- ja selkäydinvammojen yleisimmät syyt ja tyypit</li>
<li>Hallitsee EPA:t</li>
<li>18 Akuuttineurologisen potilaan hoito ja konsultointi (yli 1 kk)</li>
<li>24 Haasteellisissa vuorovaikutustilanteissa toimiminen</li>
<li>Tietää eri tyyppisten aivo- ja selkäydinvammojen ennusteen lapsilla</li>
<li>Tuntee akuutin aivo- ja selkäydinvamman alkuvaiheen kuntoutuksen perusteet ja osaa laatia sekä organisoida moniammatillisen hoito- ja kuntoutussuunnitelman</li>
</ol>

<h4>Oppimismenetelmät</h4>
<ol>
<li>Toimipaikkakoulutus (teoria)</li>
<li>Moniammatilliset yhteisvastaanotot</li>
<li>Osallistuminen moniammatillisiin hoidonsuunnittelupalavereihin</li>
</ol>

<h4>Arviointi</h4>
<ol>
<li>Potilastapauskeskustelut</li>
<li>Käytännön toiminnan suora havainnointi (lapsen tutkimisen arviointi, osastotoiminnan arviointi)</li>
<li>360 asteen palaute potilailta ja työyhteisöstä</li>
</ol>

<h4>Osaa toimia itsenäisesti</h4>
<ol>
<li>Osaa hoitaa lastenneurologin osuuden teho-hoitovaiheessa (mm. ensitiedon antaminen vanhemmille lapsen ennusteesta, kohtausoireiden hoito)</li>
<li>Osaa kuntoutusvaiheessa järjestää osastolle moniammatillisessa yhteistyössä tarvittavat kuntoutustoimenpiteet ja johtaa moniammatillista kuntoutustiimiä</li>
<li>Osaa tarkoituksenmukaisesti pyytää tarvittavia laboratorio-, neurofysiologisia- (esimerkiksi herätevastetutkimukset ja EEG) ja kuvantamistutkimuksia</li>
<li>Osaa toimia yhteistyössä muiden erikoisalojen kanssa</li>
<li>Osaa kertoa vanhemmille ymmärrettävästi lapsen ennusteesta hoidon eri vaiheissa</li>
<li>Osaa järjestää vanhemmille tarvittavan psykososiaalisen tuen hoidon eri vaiheissa</li>
<li>Osaa järjestää siirtymävaiheen avo- tai kotihoitoon sekä jatkoseurannan</li>
<li>Hallitsee EPA:n - 7 Kuntoutussuunnitelman laatiminen moniammatillisessa kuntoutustyöryhmässä</li>
</ol>";2020-08-01
Kohtausoireiden diagnostiikka;"<h3>Kohtausoireiden diagnostiikka</h3>

<h4>Kuvaus</h4>
Kohtauksellisen oireiden selvittely, erotusdiagnostiikka, tutkimusten ja hoidon suunnittelu.

<h4>Tarvittava osaaminen</h4>
<ul>
<li>Kohtauksellisten oireiden monimuotoisuuden ja syiden tunteminen eri ikäisillä potilailla</li>
<li>Riittävien esitietojen kerääminen ja potilaan tutkiminen</li>
<li>Diagnostisten laboratorio-, kuvantamis-, neurofysiologisten ja muiden tutkimusmenetelmien tarkoituksenmukainen käyttö sekä niiden mahdollisuuksien ja rajoitteiden tunteminen</li>
<li>Tutkimusten ja hoidon oikea-aikaisuuden arviointi</li>
</ul>

<h4>CanMEDS osa-alueet</h4>
<ol>
<li>Oma-osaaminen ja tiedonhallinta</li>
<li>Ammatillisuus</li>
<li>Vuorovaikutustaidot</li>
<li>Yhteistyötaidot</li>
</ol>

<h4>Oppimismenetelmät</h4>
<ol>
<li>Henkilökohtainen ohjaus, moniammatilliset yhteispalaverit (esimerkiksi radiologia, kliininen neurofysiologia)</li>
<li>Potilastapauskeskustelut, erityisesti potilaskohtaisen seurannan hyödyntäminen</li>
</ol>

<h4>Osaamisen arviointi</h4>
<ol>
<li>Mini-CEX</li>
<li>Potilastapauskeskustelut</li>
</ol>

<h4>Osaa toimia itsenäisesti</h4>
<ol>
<li>Erikoistuva osaa kerätä tietoa useasta eri lähteestä tarkan kohtauskuvauksen saamiseksi ja kirjaa systemaattisesti myös tietolähteen (esimerkiksi silminnäkijät, kohtausvideot)</li>
<li>Osaa kriittisesti arvioida käytettävissä olevaa tietoa suhteessa lapsen oireisiin ja statukseen</li>
<li>Erikoistuvaa osaa muodostaa työdiagnoosiin</li>
<li>Erikoistuva osaa suunnitella diagnostiset tutkimukset tarkoituksenmukaisella kiireellisyydellä</li>
<li>Erikoistuva osaa tarvittaessa muuttaa työdiagnoosia lisätiedon perusteella</li>
<li>Erikoistuva osaa laatia sairauskertomuksen, jossa on kuvattu kliininen päätöksenteko johdonmukaisesti</li>
</ol>";2020-08-01
Pitkittyneen epileptisen kohtauksen hoito;"<h3>Pitkittyneen epileptisen kohtauksen hoito</h3>

<h4>Kuvaus</h4>
Neurologisen hätätilanteen nopea tunnistaminen, diagnostiikka ja hoito. Status epilepticuksen hoito tapahtuu osana moniammatillista hoitotiimiä. Erityisesti kiinnitetään huomioita akuuttitilanteen hoitosuositusten tuntemiseen, lääkehoidon toteuttamiseen ja etiologisten syiden selvittämiseen. Huomioitava myös yhteistyön sujuvuus moniammatillisessa hoitotiimissä akuuttitilanteessa päivystyksessä, vuode – tai teho-osastolla.

<h4>CanMEDS osa-alueet</h4>
<ul>
<li>Oma-osaaminen</li>
<li>Yhteistyötaidot</li>
<li>Ammatillisuus</li>
<li>Vuorovaikutus</li>
<li>Johtaminen</li>
</ul>

<h4>Tarvittava osaaminen</h4>
<ol>
<li>Tajuttomuuden etiologian, erotusdiagnostiikan ja tarvittavien tutkimusten osaaminen</li>
<li>Status epilepticuksen tyypittäminen ja hoitosuositusten (Käypä hoito, paikalliset hoito-ohjeet) mukaisen hoidon toteutus</li>
<li>Pitkittyneen epilepsiakohtauksen neuropatofysiologia ja siihen liittyvät patofysiologiset muutokset elintoiminnoissa</li>
<li>Osaa toimia lastenneurologian asiantuntijana akuuttihoitotilanteessa hoitotiimissä</li>
</ol>

<h4>Oppimismenetelmät</h4>
<ol>
<li>Teoriakoulutus (paikallinen, kansallinen, kansainvälinen)</li>
<li> Klinikkameetingit (potilastapaus, radiologia, kliininen neurofysiologia)</li>
<li>Toimintaan osallistuminen seniorin ohjauksella toimipaikkakoulutuksena</li>
<li>Potilastapausten läpikäynti, henkilökohtainen opetus</li>
</ol>

<h4>Osaamisen arviointi</h4>
<ol>
<li>Potilastapauskeskustelut</li>
<li>Käytännön toiminnan suora havainnointi</li>
<li>Mini-CEX</li>
</ol>

<h4>Osaa toimia itsenäisesti</h4>
<ol>
<li>Kerää tarvittavat esitiedot saattajilta, ensihoidon siirtoraportista, muulta hoitotiimiltä sekä suorittaa tilanteen vaatiman potilaan kliinisen tutkimuksen ja tekee työdiagnoosin huomioiden mahdollisten etiologisten syiden esiintymistodennäköisyyden</li>
<li>Määrää tarvittavat tutkimukset huomioiden niiden merkityksen (ominaisuudet, rajoitteet), saatavuuden, potilaan tilan ja vaikuttavuuden kliiniseen päätöksentekoon</li>
<li>Osaa toimia osana hoitotiimiä – pyrkii aktiivisesti integroitumaan tiimiin, keskustelee selkeästi tiimin muiden jäsenten kanssa hoidosta ja tutkimustuloksista, kirjaa yksiselitteiset hoito-ohjeet omalta osaltaan ja varmistaa niiden toteutuksen</li>
<li>Huomio vuorovaikutuksen vanhempien tai saattajien kanssa</li>
<li>Hallitsee EPA:n - 24 Haasteellisissa vuorovaikutustilanteissa toimiminen</li>
</ol>";2020-08-01
Lasten ja nuorten päänsärky;"<h3>Lasten ja nuorten päänsärky</h3>

<h4>Kuvaus</h4>
Toistuvista päänsäryistä kärsivän lapsen ja nuoren etiologisten tutkimusten ja hoidon suunnittelun päävastuu on usein perusterveydenhuollossa. Erikoissairaanhoidon rooli on yleensä konsultoiva ja kohdentuu vakavien tai harvinaisten syiden selvittämiseen ja hoitoon. Lastenneurologin tietämystä tarvitaan diagnostiseen tarkkuuteen, kuvantamistutkimusten tarkoituksenmukaiseen käyttöön ja hoidonohjaukseen

<h4>CanMEDS osa-alueet</h4>
<ul>
<li>Oma-osaaminen ja tiedon hallinta</li>
<li>Yhteistyö</li>
<li>Vuorovaikutus</li>
<li>Terveyden ja hyvinvoinnin edistäminen</li>
</ul>

<h4>Tarvittava osaaminen</h4>
<ol>
<li>Primaarisen ja sekundaarisen päänsäryn diagnostiikka ja erotusdiagnostiikka, vakavien oireiden tunnistaminen ja välittömien tutkimusten aloitus</li>
<li>Harvinaisten päänsärky- ja migreenioireyhtymien ja ns. migreenivarianttien tuntemus</li>
<li>Päänsärkyoireen tunnistaminen osaksi toiminnallisten oireiden kokonaisuutta</li>
<li>Kuvantamistutkimuksen indikaatiot</li>
<li>Päänsäryn akuuttilääkehoito ja estolääkitys</li>
<li>Päänsärkypotilaan elämäntapa-ohjaus</li>
<li>Tuntee hoidonporrastuksen</li>
<li>Tunnistaa tarpeen moniammatilliselle yhteistyölle ja osaa toimia sen jäsenenä</li>
<li>’Päänsärky (lapset)’ ja ’Migreeni’ – Käypä hoito suositusten osaaminen</li>
</ol>

<h4>Oppimismenetelmät</h4>
<ol>
<li>Toimipaikan teoriakoulutus</li>
<li>Potilastapauskeskustelut</li>
</ol>

<h4>Osaamisen arviointi</h4>
<ol>
<li>Potilastapauskeskustelut</li>
<li>Mini-CEX</li>
</ol>

<h4>Osaa toimia itsenäisesti</h4>
<ol>
<li>Kykenee vastaamaan ja antamaan tutkimus- sekä hoito-ohjeet päänsärkyoirepotilasta koskeviin hoitokonsultaatioihin</li>
<li>Osaa diagnosoida päänsäryn alatyypit ja tunnistaa myös harvinaisemmat päänsäryn syyt</li>
<li>Osaa pyytää tarkoituksenmukaisia etiologisia tutkimuksia</li>
<li>Osaa ohjata ja kannustaa lasta, nuorta ja perhettä itsehoitoon sekä hyvinvointia edistävään elämäntapaan</li>
<li>Osaa tehdä päänsärkypotilaan hoitosuunnitelman tarvittaessa moniammatillisena yhteistyönä erikois- ja perusterveyden huollon toimijoiden kanssa</li>
</ol>";2020-08-01
Autoimmuunienkefaliitti ja muut keskushermoston neuroinflammatoriset ja demyelinoivat sairaudet;"<h3>Autoimmuunienkefaliitti ja muut keskushermoston neuroinflammatoriset sekä demyelinoivat sairaudet</h3>

<h4>Kuvaus</h4>
Autoimmuunienkefaliitti ja muut neuroinflammatoriset aivosairaudet ilmenevät lapsuusiässä usein melko akuutteina ja vaikeina oireina. Diagnoosi perustuu esitietoihin, neurologisiin löydöksiin ja merkittäviltä osin pään-MRI löydökseen sekä likvor – ja laboratoriotutkimuksiin.

<h4>CanMEDS osa-alueet</h4>
<ul>
<li>Oma-osaaminen ja tiedon hallinta</li>
<li>Ammatillisuus</li>
<li>Tiedonhallinta</li>
</ul>

<h4>Tarvittava osaaminen</h4>
<ol>
<li>Perustiedot neuroimmunologiasta</li>
<li>Tuntee sairausryhmälle ominaiset muutokset pään-MRI tutkimuksessa</li>
<li>Tuntee tyypillisimmät EEG ja likvor-löydökset ja niiden tulkinnan</li>
<li>Tuntee tulehduksellisten aivosairauksien erotusdiagnostiikan</li>
<li>Osaa tulehduksellisten aivosairauksien alkuhoidon</li>
<li>Tietää jatkohoidon periaatteet</li>
</ol>

<h4>Oppimismenetelmät</h4>
<ol>
<li>Teoriaopetus</li>
<li>Potilastapauskeskustelut</li>
<li>Moniammatilliset klinikkameetingit (radiologia, kliininen neurofysiologia)</li>
</ol>

<h4>Arviointimenetelmät</h4>
<ol>
<li>Potilastapauskeskustelut</li>
<li>Mini-CEX</li>
</ol>

<h4>Osaa toimia itsenäisesti</h4>
<ol>
<li>Erikoistuva osaa tunnistaa autoimmuunienkefaliitin tai tulehduksellisen aivosairauden potilaan kliinisten oireiden ja löydösten perusteella sekä määrätä tarkoituksenmukaiset kuvantamis- ja laboratoriotutkimukset</li>
<li>Erikoistuva osaa aloittaa alkuhoidon ja suunnitella tarvittavan jatkoseurannan</li>
</ol>";2020-08-01
Kehitysneurologisen diagnoosin asettaminen ja neurologisen kehityksen poikkeavuuden etiologinen selvittely;"<h3>Kehitysneurologisen diagnoosin asettaminen ja neurologisen kehityksen poikkeavuuden etiologinen selvittely</h3>

<h4>Kuvaus</h4>
Lapselle tehdään kehitysneurologinen diagnoosi yhdistäen esitietoja, kehitysneurologisen kliinisen tutkimuksen ja tarvittavien erityistyöntekijöiden standardoitujen testien tulokset. Lisäksi suunnitellaan tarvittavat etiologiset tutkimukset. Kerrotaan vanhemmille diagnoosi ja tutkimusten merkitys. Käsittää kaikki diagnoosit ICD-10 F80 - F89.

<h4>Keskeiset CanMEDS osa-alueet</h4>
<ul>
<li>Oma osaaminen ja tiedonhallinta</li>
<li>Ammatillisuus</li>
<li>Vuorovaikutustaidot</li>
<li>Yhteistyötaidot</li>
<li>Ammatillisuus</li>
</ul>

<h4>Tarvittava osaaminen</h4>
<ol>
<li>Tietämys lapsen normaalin kehityksen laajasta variaatiosta ja poikkeavasta kehityksestä sekä yleisimmistä etiologisista syistä.</li>
<li>Tietämys poikkeavan kehityksen vakavista syistä, joiden lisätutkimukset ja hoito tulisi aloittaa viiveettä.</li>
<li>Eri-ikäisten lasten kehityksen ja kehityskaaren systemaattinen arviointi (neurologisen kehityksen eri osa-alueet) yhdistämällä esitietojen, kehitysneurologisen tutkimisen ja erityistyöntekijöiden strukturoitujen testien ja kyselylomakkeiden avulla saatu tietoa</li>
<li>Lapsen kehitysneurologisten diagnoosien kriteerien tuntemus (F80-F85) ja niiden erotusdiagnostiikka</li>
<li>Erityistyöntekijöiden (psykologi, puheterapeutti, toimintaterapeutti, fysioterapeutti) tutkimustulosten kliininen arviointi suhteessa lapsen kokonaistilanteeseen ja neurologisiin löydöksiin.</li>
<li>Diagnoosin ja sen merkityksen kertominen vanhemmille ja lapselle tai nuorelle itselleen hänen kehitystaso huomioiden</li>
<li>Osaa suunnitella tarkoituksenmukaiset laboratorio-, geneettiset-, metaboliset- tai kuvantamistutkimukset ja konsultoida tarvittavia erikoisaloja, esimerkiksi kliininen genetiikka</li>
<li>Erikoistuva osaa etsiä ja soveltaa suomalaisiin hoitokäytäntöihin kansainvälisiä hoitosuosituksia ja kirjallisuutta käyttäen hyväksi eri tietokantoja</li>
<li>Erikoistuva tuntee kehityksellisen ongelmien sekä oppimisvaikeuksien hoitopolut ja palvelujärjestelmän</li>
</ol>

<h4>Oppimismenetelmät</h4>
<ol>
<li>Toimipaikkakoulutus, osallistuminen työpaikan palavereihin</li>
<li>Henkilökohtainen ohjaus potilasesimerkkien avulla</li>
</ol>

<h4>Osaamisen arviointi</h4>
<ol>
<li>Potilastapauskeskustelut</li>
<li>Mini- CEX</li>
<li>Käytännön toiminnan suora havainnointi</li>
<li>360 asteen palaute vanhemmilta ja työyhteisöstä</li>
</ol>

<h4>Osaa toimia itsenäisesti</h4>
<ol>
<li>Osaa tehdä lapsen kehitystasoa kuvaavan diagnoosin yhdistämällä käytettävissä olevia esitietoja, kliinisen tutkimuksen ja moniammatillisen työryhmän keräämiä ja tuottamaa tietoa</li>
<li>Osaa suunnitella yhdessä moniammatillisen kuntoutustyöryhmän kanssa tarvittavat erityistyöntekijöiden tutkimukset ja tukitoimet</li>
<li>Osaa kertoa diagnoosin ja merkityksen lapselle ja vanhemmille ymmärrettävällä tavalla</li>
<li>Osaa tarvittaessa konsultoida muita erikoisaloja, pyytää tarkoituksenmukaiset etiologiset tutkimukset, ja selittää vanhemmille niiden merkityksen.</li>
</ol>";2020-08-01
