nimi;voimassaolon_alkamispaiva
Toimii eettisesti ja erilaisuutta (ikä, sukupuoli, etnisyys, uskonto, vammaisuus ym.) kunnioittaen;2022-06-06
Noudattaa lääkäriprofession ohjeita (SLL:n kollegiaalisuusohje);2022-06-06
Ymmärtää lääkärin vastuut ja tehtävät;2022-06-06
Toimii hyväksyttyjen periaatteiden mukaisesti;2022-06-06
Osaa edistää lasten terveyttä ja hyvinvointia eri yhteyksissä;2022-06-06
Osaa potilaan tutkimisen ja hoidon koordinoinnin omassa työympäristössään;2022-06-06
Osallistuu laadunparannustyöhön;2022-06-06
Osaa evaluoida omaa ja muiden tekemistä;2022-06-06
Osaa johtaa moniammatillista tiimiä;2022-06-06
Osaa konsultoida ja vastata konsultaatioon;2022-06-06
Osaa välittää tietoa potilaan voinnista ja yksikön tilanteesta;2022-06-06
Osaa toimia jäsenenä työryhmässä;2022-06-06
Kykenee hyvään vuorovaikutukseen potilaiden ja perheiden kanssa;2022-06-06
Osaa työskennellä kollegojen ja muiden ammattilaisten kanssa;2022-06-06
Osaa käyttää tietojärjestelmiä ja tehdä selkeät merkinnät;2022-06-06
Osaa toimia stressaavissa tilanteissa ja pyytää tarvittaessa apua;2022-06-06
Osaa priorisoida oman tekemisen (esim. potilaiden tutkimisjärjestyksen);2022-06-06
Tekee itselleen jatkuvan kehittymisen suunnitelman;2022-06-06
Pitää huolta omasta hyvinvoinnistaan;2022-06-06
Hallitsee omaa ajankäyttöään;2022-06-06
Tietää perusasiat eri mekanismein syntyvistä synnynnäisistä aineenvaihduntasairauksista: mitokondriotaudit, peroksisomitaudit, lysosomaaliset sairaudet, sekä aminohappojen, rasvojen ja hiilihydraattien aineenvaihdunnan häiriöt;2022-06-06
Tunnistaa osteoporoosin riskiryhmät ja tietää, milloin pitää epäillä luustodysplasiaa;2022-06-06
Tunnistaa metabolisen kriisin ja osaa aloittaa sen hoidon;2022-06-06
Tuntee vastasyntyneiden aineenvaihduntaseulan;2022-06-06
Tietää erityisruokavalion merkityksen aineenvaihduntasairauksien hoidossa;2022-06-06
Osaa valita tutkimukset metabolisen sairauden diagnosoimiseksi ja seurantaan;2022-06-06
Osaa toimia ohjatusti vastasyntyneiden seulonnan hälytyksen tapahtuessa;2022-06-06
Osaa epäillä aineenvaihduntasairautta mm. osteoporoosin, huonon kasvun, enkefalopatian, psykomotorisen regression ja organomegalian taustalla;2022-06-06
Osaa ottaa huomioon aineenvaihduntasairauden vaikutuksen lapsen ja perheen elämään;2022-06-06
Osaa toimia yhteistyössä fysio-, toiminta- ja ravitsemusterapeuttien sekä muiden ammattilaisten kanssa;2022-06-06
Osaa immunologian perusteet allergologian näkökulmasta;2022-06-06
Tietää perimän ja ympäristön vaikutuksen allergisten sairauksien synnyssä;2022-06-06
Tuntee allergisten sairauksien erilaiset ilmiasut;2022-06-06
Ymmärtää bronkioliitin ja obstruktiivisen bronkiitin jatkumon astmaan;2022-06-06
Tuntee astman fenotyypit eri ikäkausina;2022-06-06
Tuntee tavallisimmat siedätyshoidot;2022-06-06
Osaa käyttää sopivia laboratoriotutkimuksia allergisten sairauksien diagnostiikassa;2022-06-06
Osaa farmakologisen ja immunologisen hoidon yleisimpien allergisten sairauksien (astma, rinokonjunktiviitti, ekseema, allergiset reaktiot mukaan lukien anafylaksia) osalta;2022-06-06
Osaa ottaa allergia-anamneesin;2022-06-06
Osaa tehdä ja tulkita tavallisimmat kokeet: seerumin spesifisen IgE:n määritykset (tulkinta/yleisimmät allergeenit ja niiden komponentit) ja ihopistokokeet sekä ruoka-ainealtistukset;2022-06-06
Osaa hoitaa lievän ja keskivaikean astman eri ikäkausina;2022-06-06
Osaa diagnosoida ja hoitaa tavallisimmat ruoka-allergiat (maito, viljat, pähkinät, kananmuna);2022-06-06
Osaa tunnistaa siedätyshoidon indikaatiot ja aloittaa kielenalussiedätyksen;2022-06-06
Osaa adrenaliini-injektorin käytön, sen indikaatiot ja perheen ohjaamisen;2022-06-06
Osaa hoitaa akuutit allergiset reaktiot mukaan lukien anafylaksia;2022-06-06
Osaa ohjata asianmukaisen allergian välttämisruokavalion välttämisen tarkkuuden tason huomioiden;2022-06-06
Osaa keskustella perheiden kanssa lapsen oireiden ja sairauksien selvittelystä ja viestittää päätelmät;2022-06-06
Noudattaa lääketieteellisiä hoitosuosituksia ja -käytäntöjä;2022-06-06
Tietää, miten lasten terveydenhoito on järjestetty paikallisesti ja kansallisesti;2022-06-06
Tietää tavallisimmat lapsen terveyteen vaikuttavat sosioekonomiset tekijät;2022-06-06
Tietää, miten terveydenhuoltojärjestelmä varjelee lasten terveyttä ja estää heidän sairastumistaan;2022-06-06
