nimi;voimassaolon_alkamispaiva;erikoisala_id
Pediatrian yleiset osaamistavoitteet;2022-06-06;24
Aineenvaihdunta- ja luustosairaudet;2022-06-06;24
Allergologia;2022-06-06;24
Avopediatria;2022-06-06;24
Endokrinologia ja diabetes;2022-06-06;24
Farmakologia ja toksikologia;2022-06-06;24
Gastroenterologia ja hepatologia;2022-06-06;24
Genetiikka;2022-06-06;24
Hematologia ja onkologia;2022-06-06;24
Ihotaudit;2022-06-06;24
Immunologia;2022-06-06;24
Infektiot;2022-06-06;24
Kardiologia;2022-06-06;24
Keuhkosairaudet;2022-06-06;24
Korva-, nenä- ja kurkkutaudit;2022-06-06;24
Kirurgisen potilaan pre-, peri- ja postoperatiivinen hoito;2022-06-06;24
Käytös- ja mielenterveysongelmat;2022-06-06;24
Liikunta- ja urheilulääketiede;2022-06-06;24
Nefrologia ja urologia;2022-06-06;24
Nestehoito;2022-06-06;24
Neurologia ml. normaali kehitys;2022-06-06;24
Nuorisolääketiede - tiedot;2022-06-06;24
Nuorisolääketiede - taidot;2022-06-06;24
Nuorisolääketiede - asenteet;2022-06-06;24
Näyttöön perustuva lääketiede - tiedot;2022-06-06;24
Näyttöön perustuva lääketiede - taidot;2022-06-06;24
Näyttöön perustuva lääketiede - asenteet;2022-06-06;24
Ortopedia - tiedot;2022-06-06;24
Ortopedia - taidot;2022-06-06;24
Päivystyspediatria - tiedot;2022-06-06;24
Päivystyspediatria - taidot;2022-06-06;24
Päivystyspediatria - asenteet;2022-06-06;24
Ravitsemus - tiedot;2022-06-06;24
Ravitsemus - taidot;2022-06-06;24
Ravitsemus - asenteet;2022-06-06;24
Reumatologia -tiedot;2022-06-06;24
Reumatologia -taidot;2022-06-06;24
Reumatologia -asenteet;2022-06-06;24
Silmä- ja orbitasairaudet - tiedot;2022-06-06;24
Silmä- ja orbitasairaudet - taidot;2022-06-06;24
Sosiaalipediatria - tiedot;2022-06-06;24
Sosiaalipediatria - taidot;2022-06-06;24
Sosiaalipediatria - asenteet;2022-06-06;24
Tehohoito - tiedot;2022-06-06;24
Tehohoito - taidot;2022-06-06;24
Tehohoito - syventävät taidot;2022-06-06;24
Tehohoito - asenteet;2022-06-06;24
