nimi;kuvaus;voimassaolo_alkaa
1.1 Monivammapotilas ensiapupoliklinikalla;"<h3>1.1	Monivammapotilas ensiapupoliklinikalla</h3>
<p>
Kouluttaja kiinnittää huomiota näihin asioihin: työnjako, tilannetietoisuus, kommunikaation sujuvuus, kielenkäyttö, asiallisuus.
</p>
<p>
Arvioinnissa huomioidaan:
</p>

<p>
<b>Tilanteen arvio</b>
<br/>1 Tilanteen hahmottaminen ei onnistunut
<br/>2 Tilanteen arviointi onnistui osittain
<br/>3 Tilanteen arviointi onnistui suurimman osan aikaa
<br/>4 Tilanteen arviointi onnistui hyvin
<br/>5 Tilannearvio onnistui optimaalisesti
</p>

<p>
<b>Potilaan tilan kartoittaminen</b>
<br/>1 Kartoittaminen ei onnistunut
<br/>2 Kartoitus onnistui osittain
<br/>3 Kartoittaminen onnistui suurimman osan aikaa
<br/>4 Kartoitus onnistui hyvin
<br/>5 Kartoittaminen onnistui optimaalisesti
</p>

<p>
<b>Yhteistyötaidot hoitotiiimin kanssa</b>
<br/>1 Yhteistyö ei onnistunut
<br/>2 Yhteistyö onnistui osittain
<br/>3 Yhteistyö onnistui suurimman osan aikaa
<br/>4 Yhteistyö onnistui hyvin
<br/>5 Yhteistyö onnistui optimaalisesti
</p>

<p>
<b>Toimenpiteen/ -piteiden tekninen suoritus, jatkohoidon toteuttaminen (ml. leikkausindikaatiot)</b>
<br/>1 Puutteellinen ymmärtämys, tarvitsisi toistamiseen yksityiskohtaista ohjeistusta
<br/>2 Toimenpide/ jatkohoitosuunnitelma eteni puutteellisesti, tunsi osan vaiheista, ei kykyä suunnitella seuraavaa vaihetta
<br/>3 Toimenpide/ jatkohoitosuunnitelma eteni kohtuullisesti, tunsi tärkeimmät vaiheet, osoitti kykyä suunnitella seuraavaa vaihetta
<br/>4 Tunsi lähes kaikki toimenpiteet/ jatkohoidon osa-alueet, eteni jokseenkin suunnitelmallisesti
<br/>5 Tunsi toimenpiteen/ jatkohoidon kaikki osa-alueet, eteni vaivatta ja suunnitelmallisesti
</p>";2020-08-01
1.2 Rannemurtumapotilas ensiapupoliklinikalla;"<h3>1.2 Rannemurtumapotilas ensiapupoliklinikalla</h3>
<p>
Kouluttaja kiinnittää huomiota näihin asioihin: työnjako, tilannetietoisuus, kommunikaation sujuvuus, kielenkäyttö, asiallisuus
</p>
<p>
Arvioinnissa huomioidaan:
</p>
<p>
<b>Tilanteen arvio</b>
<br/>1 Tilanteen hahmottaminen ei onnistunut
<br/>2 Tilanteen arviointi onnistui osittain
<br/>3 Tilanteen arviointi onnistui suurimman osan aikaa
<br/>4 Tilanteen arviointi onnistui hyvin
<br/>5 Tilannearvio onnistui optimaalisesti
</p>

<p>
<b>Potilaan tilan kartoittaminen</b>
<br/>1 Kartoittaminen ei onnistunut
<br/>2 Kartoitus onnistui osittain
<br/>3 Kartoittaminen onnistui suurimman osan aikaa
<br/>4 Kartoitus onnistui hyvin
<br/>5 Kartoittaminen onnistui optimaalisesti
</p>

<p>
<b>Yhteistyötaidot hoitotiiimin kanssa</b>
<br/>1 Yhteistyö ei onnistunut
<br/>2 Yhteistyö onnistui osittain
<br/>3 Yhteistyö onnistui suurimman osan aikaa
<br/>4 Yhteistyö onnistui hyvin
<br/>5 Yhteistyö onnistui optimaalisesti
</p>

<p>
<b>Toimenpiteen/ -piteiden tekninen suoritus, jatkohoidon toteuttaminen (ml. leikkausindikaatiot)</b>
<br/>1 Puutteellinen ymmärtämys, tarvitsisi toistamiseen yksityiskohtaista ohjeistusta
<br/>2 Toimenpide/ jatkohoitosuunnitelma eteni puutteellisesti, tunsi osan vaiheista, ei kykyä suunnitella seuraavaa vaihetta
<br/>3 Toimenpide/ jatkohoitosuunnitelma eteni kohtuullisesti, tunsi tärkeimmät vaiheet, osoitti kykyä suunnitella seuraavaa vaihetta
<br/>4 Tunsi lähes kaikki toimenpiteet/ jatkohoidon osa-alueet, eteni jokseenkin suunnitelmallisesti
<br/>5 Tunsi toimenpiteen/ jatkohoidon kaikki osa-alueet, eteni vaivatta ja suunnitelmallisesti
</p>";2020-08-01
1.3 Nilkkamurtumapotilas ensiapupoliklinikalla;"<h3>1.3 Nilkkamurtumapotilas ensiapupoliklinikalla</h3>
<p>
Kouluttaja kiinnittää huomiota näihin asioihin: työnjako, tilannetietoisuus, kommunikaation sujuvuus, kielenkäyttö, asiallisuus
</p>
<p>
Arvioinnissa huomioidaan:
</p>
<p>
<b>Tilanteen arvio</b>
<br/>1 Tilanteen hahmottaminen ei onnistunut
<br/>2 Tilanteen arviointi onnistui osittain
<br/>3 Tilanteen arviointi onnistui suurimman osan aikaa
<br/>4 Tilanteen arviointi onnistui hyvin
<br/>5 Tilannearvio onnistui optimaalisesti
</p>

<p>
<b>Potilaan tilan kartoittaminen</b>
<br/>1 Kartoittaminen ei onnistunut
<br/>2 Kartoitus onnistui osittain
<br/>3 Kartoittaminen onnistui suurimman osan aikaa
<br/>4 Kartoitus onnistui hyvin
<br/>5 Kartoittaminen onnistui optimaalisesti
</p>

<p>
<b>Yhteistyötaidot hoitotiiimin kanssa</b>
<br/>1 Yhteistyö ei onnistunut
<br/>2 Yhteistyö onnistui osittain
<br/>3 Yhteistyö onnistui suurimman osan aikaa
<br/>4 Yhteistyö onnistui hyvin
<br/>5 Yhteistyö onnistui optimaalisesti
</p>

<p>
<b>Toimenpiteen/ -piteiden tekninen suoritus, jatkohoidon toteuttaminen (ml. leikkausindikaatiot)</b>
<br/>1 Puutteellinen ymmärtämys, tarvitsisi toistamiseen yksityiskohtaista ohjeistusta
<br/>2 Toimenpide/ jatkohoitosuunnitelma eteni puutteellisesti, tunsi osan vaiheista, ei kykyä suunnitella seuraavaa vaihetta
<br/>3 Toimenpide/ jatkohoitosuunnitelma eteni kohtuullisesti, tunsi tärkeimmät vaiheet, osoitti kykyä suunnitella seuraavaa vaihetta
<br/>4 Tunsi lähes kaikki toimenpiteet/ jatkohoidon osa-alueet, eteni jokseenkin suunnitelmallisesti
<br/>5 Tunsi toimenpiteen/ jatkohoidon kaikki osa-alueet, eteni vaivatta ja suunnitelmallisesti
</p>";2020-08-01
1.4 Lonkkamurtumapotilas ensiapupoliklinikalla;"<h3>1.4 Lonkkamurtumapotilas ensiapupoliklinikalla</h3>
<p>
Kouluttaja kiinnittää huomiota näihin asioihin: työnjako, tilannetietoisuus, kommunikaation sujuvuus, kielenkäyttö, asiallisuus
</p>
<p>
Arvioinnissa huomioidaan:
</p>
<p>
<b>Tilanteen arvio</b>
<br/>1 Tilanteen hahmottaminen ei onnistunut
<br/>2 Tilanteen arviointi onnistui osittain
<br/>3 Tilanteen arviointi onnistui suurimman osan aikaa
<br/>4 Tilanteen arviointi onnistui hyvin
<br/>5 Tilannearvio onnistui optimaalisesti
</p>

<p>
<b>Potilaan tilan kartoittaminen</b>
<br/>1 Kartoittaminen ei onnistunut
<br/>2 Kartoitus onnistui osittain
<br/>3 Kartoittaminen onnistui suurimman osan aikaa
<br/>4 Kartoitus onnistui hyvin
<br/>5 Kartoittaminen onnistui optimaalisesti
</p>

<p>
<b>Yhteistyötaidot hoitotiiimin kanssa</b>
<br/>1 Yhteistyö ei onnistunut
<br/>2 Yhteistyö onnistui osittain
<br/>3 Yhteistyö onnistui suurimman osan aikaa
<br/>4 Yhteistyö onnistui hyvin
<br/>5 Yhteistyö onnistui optimaalisesti
</p>

<p>
<b>Toimenpiteen/ -piteiden tekninen suoritus, jatkohoidon toteuttaminen (ml. leikkausindikaatiot)</b>
<br/>1 Puutteellinen ymmärtämys, tarvitsisi toistamiseen yksityiskohtaista ohjeistusta
<br/>2 Toimenpide/ jatkohoitosuunnitelma eteni puutteellisesti, tunsi osan vaiheista, ei kykyä suunnitella seuraavaa vaihetta
<br/>3 Toimenpide/ jatkohoitosuunnitelma eteni kohtuullisesti, tunsi tärkeimmät vaiheet, osoitti kykyä suunnitella seuraavaa vaihetta
<br/>4 Tunsi lähes kaikki toimenpiteet/ jatkohoidon osa-alueet, eteni jokseenkin suunnitelmallisesti
<br/>5 Tunsi toimenpiteen/ jatkohoidon kaikki osa-alueet, eteni vaivatta ja suunnitelmallisesti
</p>";2020-08-01
1.5 Cauda equina -potilas ensiapupoliklinikalla;"<h3>1.5 Cauda equina -potilas ensiapupoliklinikalla</h3>
<p>
Kouluttaja kiinnittää huomiota näihin asioihin: työnjako, tilannetietoisuus, kommunikaation sujuvuus, kielenkäyttö, asiallisuus
</p>
<p>
Arvioinnissa huomioidaan:
</p>
<p>
<b>Tilanteen arvio</b>
<br/>1 Tilanteen hahmottaminen ei onnistunut
<br/>2 Tilanteen arviointi onnistui osittain
<br/>3 Tilanteen arviointi onnistui suurimman osan aikaa
<br/>4 Tilanteen arviointi onnistui hyvin
<br/>5 Tilannearvio onnistui optimaalisesti
</p>

<p>
<b>Potilaan tilan kartoittaminen</b>
<br/>1 Kartoittaminen ei onnistunut
<br/>2 Kartoitus onnistui osittain
<br/>3 Kartoittaminen onnistui suurimman osan aikaa
<br/>4 Kartoitus onnistui hyvin
<br/>5 Kartoittaminen onnistui optimaalisesti
</p>

<p>
<b>Yhteistyötaidot hoitotiiimin kanssa</b>
<br/>1 Yhteistyö ei onnistunut
<br/>2 Yhteistyö onnistui osittain
<br/>3 Yhteistyö onnistui suurimman osan aikaa
<br/>4 Yhteistyö onnistui hyvin
<br/>5 Yhteistyö onnistui optimaalisesti
</p>

<p>
<b>Toimenpiteen/ -piteiden tekninen suoritus, jatkohoidon toteuttaminen (ml. leikkausindikaatiot)</b>
<br/>1 Puutteellinen ymmärtämys, tarvitsisi toistamiseen yksityiskohtaista ohjeistusta
<br/>2 Toimenpide/ jatkohoitosuunnitelma eteni puutteellisesti, tunsi osan vaiheista, ei kykyä suunnitella seuraavaa vaihetta
<br/>3 Toimenpide/ jatkohoitosuunnitelma eteni kohtuullisesti, tunsi tärkeimmät vaiheet, osoitti kykyä suunnitella seuraavaa vaihetta
<br/>4 Tunsi lähes kaikki toimenpiteet/ jatkohoidon osa-alueet, eteni jokseenkin suunnitelmallisesti
<br/>5 Tunsi toimenpiteen/ jatkohoidon kaikki osa-alueet, eteni vaivatta ja suunnitelmallisesti
</p>";2020-08-01
1.6 Ortopedisen toimenpiteen jälkeinen infektiopotilas osastolla/ ensiapupoliklinikalla;"<h3>1.6 Ortopedisen toimenpiteen jälkeinen infektiopotilas osastolla/ ensiapupoliklinikalla</h3>
<p>
Kouluttaja kiinnittää huomiota näihin asioihin: työnjako, tilannetietoisuus, kommunikaation sujuvuus, kielenkäyttö, asiallisuus
</p>
<p>
Arvioinnissa huomioidaan:
</p>
<p>
<b>Tilanteen arvio</b>
<br/>1 Tilanteen hahmottaminen ei onnistunut
<br/>2 Tilanteen arviointi onnistui osittain
<br/>3 Tilanteen arviointi onnistui suurimman osan aikaa
<br/>4 Tilanteen arviointi onnistui hyvin
<br/>5 Tilannearvio onnistui optimaalisesti
</p>

<p>
<b>Potilaan tilan kartoittaminen</b>
<br/>1 Kartoittaminen ei onnistunut
<br/>2 Kartoitus onnistui osittain
<br/>3 Kartoittaminen onnistui suurimman osan aikaa
<br/>4 Kartoitus onnistui hyvin
<br/>5 Kartoittaminen onnistui optimaalisesti
</p>

<p>
<b>Yhteistyötaidot hoitotiiimin kanssa</b>
<br/>1 Yhteistyö ei onnistunut
<br/>2 Yhteistyö onnistui osittain
<br/>3 Yhteistyö onnistui suurimman osan aikaa
<br/>4 Yhteistyö onnistui hyvin
<br/>5 Yhteistyö onnistui optimaalisesti
</p>

<p>
<b>Toimenpiteen/ -piteiden tekninen suoritus, jatkohoidon toteuttaminen (ml. leikkausindikaatiot)</b>
<br/>1 Puutteellinen ymmärtämys, tarvitsisi toistamiseen yksityiskohtaista ohjeistusta
<br/>2 Toimenpide/ jatkohoitosuunnitelma eteni puutteellisesti, tunsi osan vaiheista, ei kykyä suunnitella seuraavaa vaihetta
<br/>3 Toimenpide/ jatkohoitosuunnitelma eteni kohtuullisesti, tunsi tärkeimmät vaiheet, osoitti kykyä suunnitella seuraavaa vaihetta
<br/>4 Tunsi lähes kaikki toimenpiteet/ jatkohoidon osa-alueet, eteni jokseenkin suunnitelmallisesti
<br/>5 Tunsi toimenpiteen/ jatkohoidon kaikki osa-alueet, eteni vaivatta ja suunnitelmallisesti
</p>";2020-08-01
2.1 Nivelrikkopotilas poliklinikalla;"<h3>2.1 Nivelrikkopotilas poliklinikalla </h3>
<p>
Kouluttaja kiinnittää huomiota näihin asioihin: työnjako, tilannetietoisuus, kommunikaation sujuvuus, kielenkäyttö, asiallisuus
</p>
<p>
Arvioinnissa huomioidaan:
</p>
<p>
<b>Tilanteen arvio</b>
<br/>1 Tilanteen hahmottaminen ei onnistunut
<br/>2 Tilanteen arviointi onnistui osittain
<br/>3 Tilanteen arviointi onnistui suurimman osan aikaa
<br/>4 Tilanteen arviointi onnistui hyvin
<br/>5 Tilannearvio onnistui optimaalisesti
</p>

<p>
<b>Potilaan tilan kartoittaminen</b>
<br/>1 Kartoittaminen ei onnistunut
<br/>2 Kartoitus onnistui osittain
<br/>3 Kartoittaminen onnistui suurimman osan aikaa
<br/>4 Kartoitus onnistui hyvin
<br/>5 Kartoittaminen onnistui optimaalisesti
</p>

<p>
<b>Yhteistyötaidot hoitotiiimin kanssa</b>
<br/>1 Yhteistyö ei onnistunut
<br/>2 Yhteistyö onnistui osittain
<br/>3 Yhteistyö onnistui suurimman osan aikaa
<br/>4 Yhteistyö onnistui hyvin
<br/>5 Yhteistyö onnistui optimaalisesti
</p>

<p>
<b>Toimenpiteen/ -piteiden tekninen suoritus, jatkohoidon toteuttaminen (ml. leikkausindikaatiot)</b>
<br/>1 Puutteellinen ymmärtämys, tarvitsisi toistamiseen yksityiskohtaista ohjeistusta
<br/>2 Toimenpide/ jatkohoitosuunnitelma eteni puutteellisesti, tunsi osan vaiheista, ei kykyä suunnitella seuraavaa vaihetta
<br/>3 Toimenpide/ jatkohoitosuunnitelma eteni kohtuullisesti, tunsi tärkeimmät vaiheet, osoitti kykyä suunnitella seuraavaa vaihetta
<br/>4 Tunsi lähes kaikki toimenpiteet/ jatkohoidon osa-alueet, eteni jokseenkin suunnitelmallisesti
<br/>5 Tunsi toimenpiteen/ jatkohoidon kaikki osa-alueet, eteni vaivatta ja suunnitelmallisesti
</p>";2020-08-01
2.2 Selkäkipupotilas poliklinikalla/ osastolla;"<h3>2.2 Selkäkipupotilas poliklinikalla/ osastolla</h3>
<p>
Kouluttaja kiinnittää huomiota näihin asioihin: työnjako, tilannetietoisuus, kommunikaation sujuvuus, kielenkäyttö, asiallisuus
</p>
<p>
Arvioinnissa huomioidaan:
</p>
<p>
<b>Tilanteen arvio</b>
<br/>1 Tilanteen hahmottaminen ei onnistunut
<br/>2 Tilanteen arviointi onnistui osittain
<br/>3 Tilanteen arviointi onnistui suurimman osan aikaa
<br/>4 Tilanteen arviointi onnistui hyvin
<br/>5 Tilannearvio onnistui optimaalisesti
</p>

<p>
<b>Potilaan tilan kartoittaminen</b>
<br/>1 Kartoittaminen ei onnistunut
<br/>2 Kartoitus onnistui osittain
<br/>3 Kartoittaminen onnistui suurimman osan aikaa
<br/>4 Kartoitus onnistui hyvin
<br/>5 Kartoittaminen onnistui optimaalisesti
</p>

<p>
<b>Yhteistyötaidot hoitotiiimin kanssa</b>
<br/>1 Yhteistyö ei onnistunut
<br/>2 Yhteistyö onnistui osittain
<br/>3 Yhteistyö onnistui suurimman osan aikaa
<br/>4 Yhteistyö onnistui hyvin
<br/>5 Yhteistyö onnistui optimaalisesti
</p>

<p>
<b>Toimenpiteen/ -piteiden tekninen suoritus, jatkohoidon toteuttaminen (ml. leikkausindikaatiot)</b>
<br/>1 Puutteellinen ymmärtämys, tarvitsisi toistamiseen yksityiskohtaista ohjeistusta
<br/>2 Toimenpide/ jatkohoitosuunnitelma eteni puutteellisesti, tunsi osan vaiheista, ei kykyä suunnitella seuraavaa vaihetta
<br/>3 Toimenpide/ jatkohoitosuunnitelma eteni kohtuullisesti, tunsi tärkeimmät vaiheet, osoitti kykyä suunnitella seuraavaa vaihetta
<br/>4 Tunsi lähes kaikki toimenpiteet/ jatkohoidon osa-alueet, eteni jokseenkin suunnitelmallisesti
<br/>5 Tunsi toimenpiteen/ jatkohoidon kaikki osa-alueet, eteni vaivatta ja suunnitelmallisesti
</p>";2020-08-01
2.3 Olkakipupotilas poliklinikalla/ osastolla;"<h3>2.3 Olkakipupotilas poliklinikalla/ osastolla</h3>
<p>
Kouluttaja kiinnittää huomiota näihin asioihin: työnjako, tilannetietoisuus, kommunikaation sujuvuus, kielenkäyttö, asiallisuus
</p>
<p>
Arvioinnissa huomioidaan:
</p>
<p>
<b>Tilanteen arvio</b>
<br/>1 Tilanteen hahmottaminen ei onnistunut
<br/>2 Tilanteen arviointi onnistui osittain
<br/>3 Tilanteen arviointi onnistui suurimman osan aikaa
<br/>4 Tilanteen arviointi onnistui hyvin
<br/>5 Tilannearvio onnistui optimaalisesti
</p>

<p>
<b>Potilaan tilan kartoittaminen</b>
<br/>1 Kartoittaminen ei onnistunut
<br/>2 Kartoitus onnistui osittain
<br/>3 Kartoittaminen onnistui suurimman osan aikaa
<br/>4 Kartoitus onnistui hyvin
<br/>5 Kartoittaminen onnistui optimaalisesti
</p>

<p>
<b>Yhteistyötaidot hoitotiiimin kanssa</b>
<br/>1 Yhteistyö ei onnistunut
<br/>2 Yhteistyö onnistui osittain
<br/>3 Yhteistyö onnistui suurimman osan aikaa
<br/>4 Yhteistyö onnistui hyvin
<br/>5 Yhteistyö onnistui optimaalisesti
</p>

<p>
<b>Toimenpiteen/ -piteiden tekninen suoritus, jatkohoidon toteuttaminen (ml. leikkausindikaatiot)</b>
<br/>1 Puutteellinen ymmärtämys, tarvitsisi toistamiseen yksityiskohtaista ohjeistusta
<br/>2 Toimenpide/ jatkohoitosuunnitelma eteni puutteellisesti, tunsi osan vaiheista, ei kykyä suunnitella seuraavaa vaihetta
<br/>3 Toimenpide/ jatkohoitosuunnitelma eteni kohtuullisesti, tunsi tärkeimmät vaiheet, osoitti kykyä suunnitella seuraavaa vaihetta
<br/>4 Tunsi lähes kaikki toimenpiteet/ jatkohoidon osa-alueet, eteni jokseenkin suunnitelmallisesti
<br/>5 Tunsi toimenpiteen/ jatkohoidon kaikki osa-alueet, eteni vaivatta ja suunnitelmallisesti
</p>";2020-08-01
3.1 Rannemurtumaleikkaus;"<h3>3.1 Rannemurtumaleikkaus </h3>

<p>
Kouluttaja arvioi leikkaustyöskentelyä.
<br/>Arviointi tehdään leikkaustaitojen arviointityökalulla (OSATS).
</p>

<p>
Arvioinnissa huomioidaan:
<ul>
<li>Anatomian ja patofysiologian tuntemus</li>
<li>Kudosten käsittely</li>
<li>Ajankäyttö ja liikkeet</li>
<li>Instrumenttien käsittely</li>
<li>Instrumenttien tuntemus</li>
<li>Leikkauksen kulku</li>
<li>Assistentin käyttö</li>
<li>Toimenpidekohtainen osaaminen</li>
</ul>
</p>

<p>
Erikoistuja arvioi itsearvioinnissa, kuinka paljon luottaa kykyihinsä selvitä kyseisestä toimenpiteestä leikkaussalissa:
<br/>1 En luota ollenkaan
<br/>2 Luotan varsin vähän
<br/>3 Luotan kohtuullisesti
<br/>4 Luotan varsin paljon
<br/>5 Luotan erittäin paljon
</p>

<p>
Erikoistuja arvioi kuinka hyvin saavutti asetetut oppimistavoitteet kyseisessä harjoituksessa:
<br/>1 En saavuttanut tavoitteita ollenkaan
<br/>2 Saavutin tavoitteet huonosti
<br/>3 Saavutin tavoitteet kohtuullisesti
<br/>4 Saavutin tavoitteet varsin hyvin
<br/>5 Saavutin tavoitteet erinomaisesti
</p>";2020-08-01
