id;nimi;kuvaus;voimassaolo_alkaa;erikoisala_id;kategoria_id
3300;1.1 Tunnen ammattieettiset periaatteet ja toimin työssäni niiden mukaisesti;"<b>Alkuvaiheen erikoistuva</b>
<br />
Olen tutustunut pohjoismaisiin yleislääketieteen arvoihin ja Lääkäriliiton eettisiin ohjeisiin, ja pystyn ohjaustilanteessa keskustelemaan niistä.
<br />
<br />
<b>Edistynyt erikoistuva</b>
<br />
Suhtaudun potilaisiin, kollegoihin sekä muihin työtovereihin tasavertaisina. Huomioin potilaiden yksilölliset tarpeet työssäni.
<br />
<br />
<b>Erikoislääkäri</b>
<br />
Toimin ammatillisesti, vaikka ammattieettiset periaatteet menevät mahdollisessa ristiriitatilanteessa oman arvomaailmani mukaisten periaatteiden edelle työssä.
<br />
<br />
<b>Erityinen osaaminen</b>
<br />
Kehitän ja huolehdin siitä, että työyhteisön toiminta nojautuu pohjoismaisiin yleislääketieteen arvioihin ja Lääkäriliiton eettisiin ohjeisiin.";2020-08-01;50;3300
3301;1.2 Kunnioitan potilaan itsemääräämisoikeutta ;"<b>Alkuvaiheen erikoistuva</b>
<br />
Osaan soveltaa potilaan itsemääräämisoikeuksia koskevaa lainsäädäntöä tavanomaisissa käytännön tilanteissa.
<br />
<br />
<b>Edistynyt erikoistuva</b>
<br />
Kuuntelen potilasta ja kunnioitan hänen arvojaan ja tarpeitaan sekä huomioin ne päätöksenteossa.
<br />
<br />
<b>Erikoislääkäri</b>
<br />
Etsin potilaan kanssa yhteistä näkemystä hoitolinjoista myös haastavissa tilanteissa.
<br />
<br />
<b>Erityinen osaaminen</b>
<br />
Kehitän työyhteisön prosesseja potilaan itsemääräämisoikeutta kunnioittavaksi.";2020-08-01;50;3300
3302;1.3 Olen tietoinen omista asenteistani ja arvoistani ;"<b>Alkuvaiheen erikoistuva</b>
<br />
Olen valmis pohtimaan omia arvojani ja asenteitani ja miten ne vaikuttavat työhöni.
<br />
<br />
<b>Edistynyt erikoistuva</b>
<br />
Tunnistan, että omat arvoni ja asenteeni vaikuttavat hoitosuhteeseen.
Asennoitumiseni potilaaseen on kunnioittavaa mahdollisista erilaisista arvoista huolimatta.
<br />
<br />
<b>Erikoislääkäri</b>
<br />
Pystyn itsereflektioon ja osaan korjata toimintaani, jos huomaan toimineeni tunteiden ohjaamana.
<br />
<br />
<b>Erityinen osaaminen</b>
<br />
Hyödynnän reflektiotaitoa työyhteisössä ja osana koulutusta";2020-08-01;50;3300
3303;1.4 Tunnistan työkykyni rajat ja huolehdin työkyvystäni ja hyvinvoinnistani;"<b>Alkuvaiheen erikoistuva</b>
<br />
Tunnistan työnhallintaan liittyviä osa-alueita, kuten esimerkiksi riittävä palautuminen ja tuen pyytäminen tarvittaessa
<br />
<br />
<b>Edistynyt erikoistuva</b>
<br />
Osaan hyödyntää työnhallinnan menetelmiä työkuormani hallinnassa.
<br />
<br />
<b>Erikoislääkäri</b>
<br />
Sovellan itselleni sopivia työnhallinnan menetelmiä suoriutuakseni työstäni hyvin.
<br />
<br />
<b>Erityinen osaaminen</b>
<br />
Kehitän työyhteisöäni siten, että se mahdollistaa terveydenhuollon ammattilaisten vahvuuksien hyödyntämisen työhyvinvoinnin huomioiden.";2020-08-01;50;3300
3304;1.5 Vastaan potilaan tarpeisiin yhdenvertaisesti käytettävissä olevien voimavarojen puitteissa;"<b>Alkuvaiheen erikoistuva</b>
<br />
Osaan soveltaa lainsäädäntöä sekä ammattieettisiä periaatteita yhdenvertaisesta kohtelusta.
<br />
<br />
<b>Edistynyt erikoistuva</b>
<br />
Tunnistan eniten tukea tarvitsevat, haavoittuvassa asemassa olevat potilaani ja pyrin kohdistamaan heille voimavaroja.
<br />
<br />
<b>Erikoislääkäri</b>
<br />
Ohjaan rajallisten resurssien käyttöä hyödyntäen näyttöön perustuvia menetelmiä: mm. hoidon jatkuvuutta, hoitosuhdetta ja moniammatillisuutta.
<br />
<br />
<b>Erityinen osaaminen</b>
<br />
Kehitän palvelujärjestelmää tunnistamaan ja huomioimaan väestötasolla erilaisten potilasryhmien tarpeet";2020-08-01;50;3300
3305;2.1 Otan huomioon sairauksien ennaltaehkäisyn sekä terveyden ja hyvinvoinnin edistämisen potilaskontakteissa ;"<b>Alkuvaiheen erikoistuva</b>
<br />
Kysyn potilaalta elintavoista ja käsillä olevan terveysongelman riskitekijöistä.
<br />
<br />
<b>Edistynyt erikoistuva</b>
<br />
Selvitän keskustellen potilaan elintapoja sekä terveyden suoja- ja sairauksien riskitekijöitä oikea-aikaisesti hänen tilanteeseensa sopien (=potilaan lähikehityksen vyöhyke).
<br />
<br />
<b>Erikoislääkäri</b>
<br />
Osaan aktiivisesti auttaa potilasta etenemään sairauksien ehkäisyssä ja terveyden edistämisessä hänen lähikehityksensä vyöhykkeellään.
<br />
<br />
<b>Erityinen osaaminen</b>
<br />
Pidän huolta siitä, että terveyden ja hyvinvoinnin edistämisen näkökulma on mukana   hoitoketjuissa. Koulutan lääkäreitä ja muita ammattilaisia terveyden ja hyvinvoinnin edistämissä.";2020-08-01;50;3301
3306;2.2. Osaan toimia ennaltaehkäisevässä terveydenhuollossa kuten neuvoloissa sekä koulu- ja opiskelijaterveydenhuollossa;"<b>Alkuvaiheen erikoistuva</b>
<br />
Teen terveystarkastuksia yhdessä muiden ammattilaisten kanssa tukeutuen kansallisiin ohjeisiin
<br />
<br />
<b>Edistynyt erikoistuva</b>
<br />
Huomioin perheen ja lähipiirin voimavarat sekä lapsen/perheen yksilölliset riski- ja suojatekijät, sekä hyödynnän tarkoituksenmukaisia yhteistyötahoja
<br />
<br />
<b>Erikoislääkäri</b>
<br />
Kokoan tarvittaessa moniammatillisen työryhmän koordinoiden potilaan hoitoa ja ottaen vastuun hoidon jatkuvuudesta.
<br />
<br />
<b>Erityinen osaaminen</b>
<br />
Olen mukana ennaltaehkäisevien toimien suunnittelussa ja kehittämisessä.";2020-08-01;50;3301
3307;2.3. Osaan hakea väestön terveyttä koskevaa tietoa ja soveltaa sitä väestön terveyden ja hyvinvoinnin edistämiseksi ;"<b>Alkuvaiheen erikoistuva</b>
<br />
Tunnistan alueen sosioekonomisen väestörakenteen merkityksen terveyspalvelujen tarpeessa.
<br />
<br />
<b>Edistynyt erikoistuva</b>
<br />
Tunnen alueen hyvinvointikertomuksen mukaiset painotusalueet.
<br />
<br />
<b>Erikoislääkäri</b>
<br />
Osallistun terveyden edistämisen ja hyvinvoinnin verkostotyöhön.
<br />
<br />
<b>Erityinen osaaminen</b>
<br />
Haen aktiivisesti oikea-aikaista tietoa sairastavuudesta ja hyvinvoinnista käyttäen niitä toiminnan suunnitteluun ja kehittämiseen. ";2020-08-01;50;3301
3308;3.1. Tunnen omaan työhöni liittyvän keskeisen lainsäädännön ja osaan soveltaa sitä työn edellyttämällä tavalla;"<b>Alkuvaiheen erikoistuva</b>
<br />
Teen työtäni voimassa olevan lainsäädännön (laki potilaan asemasta ja oikeuksista ja laki terveydenhuollon ammattihenkilöistä) ja ammattikunnan eettisten periaatteiden ohjaamana.
<br />
<br />
<b>Edistynyt erikoistuva</b>
<br />
Osaan kertoa, mitkä keskeiset säädökset vaikuttavat siihen, miten toimin työssäni.
<br />
<br />
<b>Erikoislääkäri</b>
<br />
Osaan soveltaa keskeistä lainsäädäntöä eettisin perustein tehdessäni hoitopäätöksiä potilaan parhaaksi.
<br />
<br />
<b>Erityinen osaaminen</b>
<br />
Kehitän toimipaikkani työkäytänteitä muuttuvien säädösten mukaisiksi.";2020-08-01;50;3302
3309;3.2. Käytän rajallisia voimavaroja siten, että väestö ja potilaat saavat terveyshyötyä;"<b>Alkuvaiheen erikoistuva</b>
<br />
Otan huomioon Vältä viisaasti -suositukset hoitopäätöksiä tehtäessä.
<br />
<br />
<b>Edistynyt erikoistuva</b>
<br />
Vertailen omaa lääkemääräämis- ja hoitokäytäntöjäni oman sairaanhoitopiirin ja yleislääketieteen erikoislääkäreiden käytäntöihin.
<br />
<br />
<b>Erikoislääkäri</b>
<br />
Osaan hakea tietoa diagnostiikkaan ja hoitoon liittyvien vaikutusten ja kustannusten välisistä suhteista.
<br />
<br />
<b>Erityinen osaaminen</b>
<br />
Käytän saatavilla olevaa tietoa toiminnan vaikutuksista ja kustannuksista käytänteiden kehittämisessä.";2020-08-01;50;3302
3310;3.3. Osaan toimia lähijohtajana ja kykenen ottamaan lääketieteellisen vastuun ;"<b>Alkuvaiheen erikoistuva</b>
<br />
Otan vastuuta omasta työstäni ja ymmärrän päätösteni seurauksia.
<br />
<br />
<b>Edistynyt erikoistuva</b>
<br />
Osallistun aktiivisesti ja teen aloitteita toimipaikkani erilaisissa työryhmissä.
<br />
<br />
<b>Erikoislääkäri</b>
<br />
Vastuullani on jokin työpaikkani toimintasektoreista tai toiminnoista.
<br />
<br />
<b>Erityinen osaaminen</b>
<br />
Organisoin ja johdan toimintaa käytettävissä olevien voimavarojen puitteissa. ";2020-08-01;50;3302
3311;3.4. Kykenen oman sekä työyhteisöni toiminnan kehittämiseen laadun ja potilasturvallisuuden edistämiseksi ;"<b>Alkuvaiheen erikoistuva</b>
<br />
Osaan raportoida potilasturvallisuutta heikentävistä tekijöistä asianmukaisia kanavia pitkin.
<br />
<br />
<b>Edistynyt erikoistuva</b>
<br />
Teen kehittämisehdotuksia potilasturvallisuusilmoitusten pohjalta.
<br />
<br />
<b>Erikoislääkäri</b>
<br />
Käytän moniammatillista yhteistyötä potilastyössäni ja luon hoidon jatkuvuutta toiminnallani.
<br />
<br />
<b>Erityinen osaaminen</b>
<br />
Toteutan hoidon jatkuvuutta ja moniammatillista yhteistyötä tuntien roolini moniammatillisessa tiimissä omassa organisaatiossa ja oman organisaation ulkopuolella. ";2020-08-01;50;3302
3312;3.5. Osaan ottaa koordinoivan hoitovastuun potilaasta hänen terveysongelmissaan;"<b>Alkuvaiheen erikoistuva</b>
<br />
Osaan määritellä yleislääkärin roolin koordinaattorina potilaan terveysongelmissa, esimerkiksi hoidon jatkuvuuden ja hoitoketjujen avulla.
<br />
<br />
<b>Edistynyt erikoistuva</b>
<br />
Käytän hoidon jatkuvuutta potilastyössäni ja osaan selittää kuinka moniammatillinen yhteistyö toteutuu yleislääkärin työssä.
<br />
<br />
<b>Erikoislääkäri</b>
<br />
Käytän moniammatillista yhteistyötä potilastyössäni ja luon hoidon jatkuvuutta toiminnallani.
<br />
<br />
<b>Erityinen osaaminen</b>
<br />
Toteutan hoidon jatkuvuutta ja moniammatillista yhteistyötä tuntien roolini moniammatillisessa tiimissä omassa organisaatiossa ja oman organisaation ulkopuolella. ";2020-08-01;50;3302
3313;3.6. Ohjaan potilaan tarkoituksenmukaisesti muihin sosiaali- ja terveyspalveluihin;"<b>Alkuvaiheen erikoistuva</b>
<br />
Tunnen toimintaympäristöni oman toimintayksikön sote-palveluiden valikoiman.
<br />
<br />
<b>Edistynyt erikoistuva</b>
<br />
Tunnen oman toimintayksikköni ulkopuolisten yhteistyötahojen valikoiman ja ymmärrän kustannusvaikuttavuuden merkityksen työssäni.
<br />
<br />
<b>Erikoislääkäri</b>
<br />
Osaan ohjata potilaani oikea-aikaisesti hänen tarvitsemiinsa palveluihin.
<br />
<br />
<b>Erityinen osaaminen</b>
<br />
Osaan ohjata potilaani oikea-aikaisesti hänen tarvitsemiinsa palveluihin saatava terveyshyöty ja kustannusvaikuttavuus huomioiden.";2020-08-01;50;3302
3314;4.1. Diagnosoin ja hoidan potilaitteni pitkäaikaisia sairauksia yhteisymmärryksessä potilaan ja hänen hoitoonsa osallistuvien kanssa ;"<b>Alkuvaiheen erikoistuva</b>
<br />
Hallitsen perusterveydenhuollossa hoidettavien yleisimpien sairauksien diagnostiikan, erotusdiagnostiikan ja hoidon periaatteet.
<br />
<br />
<b>Edistynyt erikoistuva</b>
<br />
Huomioin hoidon suunnittelussa ja toteutuksessa potilaan elämäntilanteen hyödyntäen ammattien välistä yhteistyötä.
<br />
<br />
<b>Erikoislääkäri</b>
<br />
Kuljen potilaan ja hänen hoitoonsa osallistuvien rinnalla kuormittavissa tilanteissa sekä koordinoin hoitoa.
<br />
<br />
<b>Erityinen osaaminen</b>
<br />
Osallistun hoitopolkujen ja –ketjujen tai hoidon laatumittarien kehittämiseen.";2020-08-01;50;3303
3315;4.2. Tunnistan kiireellistä hoitoa vaativat potilaat ja toimin tarvittaessa välittömästi ;"<b>Alkuvaiheen erikoistuva</b>
<br />
Tunnistan kiireellisen hoidon tarpeen ja annan tarvittavan ensiavun sekä ohjaan oikeaan hoitopaikkaan.
<br />
<br />
<b>Edistynyt erikoistuva</b>
<br />
Osaan toimia tiimin vetäjänä välitöntä hoitoa vaativissa tilanteissa.
<br />
<br />
<b>Erikoislääkäri</b>
<br />
Työyhteisön jäsenet luottavat minuun konsultoidessaan hoidon tarpeen arviosta.
<br />
<br />
<b>Erityinen osaaminen</b>
<br />
Osallistun kiireellisen hoidon suunnitteluun alueellani.";2020-08-01;50;3303
3316;4.3. Perustan diagnostisen päättelyni sairauksien ilmaantuvuuteen ja vallitsevuuteen ;"<b>Alkuvaiheen erikoistuva</b>
<br />
Tunnen väestön tavallisten tautien ilmaantuvuuden ja vallitsevuuden.
<br />
<br />
<b>Edistynyt erikoistuva</b>
<br />
Tunnen testien sopivuuden valikoitumattomassa väestössä ja osaan valita tarkoituksenmukaiset diagnostiset tutkimukset potilaan tarpeen mukaisesti.
<br />
<br />
<b>Erikoislääkäri</b>
<br />
Sovellan päättelyäni monisairaiden potilaiden hoidossa ja hyödynnän todennäköisyyksiä päätöksenteossa.
<br />
<br />
<b>Erityinen osaaminen</b>
<br />
Koostan ja hyödynnän eri lähteistä saatavaa epidemiologista tietoa diagnostisten prosessien kehittämisessä omassa organisaatiossani. ";2020-08-01;50;3303
3317;4.4. Osaan käyttää aikaa ja hoidon jatkuvuutta diagnostisena työvälineenä ;"<b>Alkuvaiheen erikoistuva</b>
<br />
Pidän tarvittaessa potilaitani seurannassani tai hoidossani.
<br />
<br />
<b>Edistynyt erikoistuva</b>
<br />
Käytän muiden ammattilaisten osaamista diagnostiikassa ja hoidon seurannassa.
<br />
<br />
<b>Erikoislääkäri</b>
<br />
Luon luottamuksellisen potilas-lääkärisuhteen siten, että se tukee diagnostiikkaa ja hoitoa.
<br />
<br />
<b>Erityinen osaaminen</b>
<br />
Kehitän toimintatapoja, joilla mahdollistetaan ajankäyttö ja hoidon jatkuvuus diagnostisena välineenä.";2020-08-01;50;3303
