erikoisala_id;vastuuhenkilon_tehtavatyyppi_id
1;1
1;3
1;4
2;1
2;3
2;4
3;1
3;3
3;4
4;1
4;3
4;4
5;1
5;3
5;4
6;1
6;3
6;4
7;1
7;3
7;4
8;1
8;3
8;4
9;1
9;3
9;4
10;1
10;3
10;4
11;1
11;3
11;4
12;1
12;3
12;4
13;1
13;3
13;4
14;1
14;3
14;4
15;1
15;3
15;4
16;1
16;3
16;4
17;1
17;3
17;4
18;1
18;3
18;4
19;1
19;3
19;4
20;1
20;3
20;4
21;1
21;3
21;4
22;1
22;3
22;4
23;1
23;3
23;4
24;1
24;3
24;4
25;1
25;3
25;4
26;1
26;3
26;4
27;1
27;3
27;4
28;1
28;3
28;4
29;1
29;3
29;4
30;1
30;3
30;4
31;1
31;3
31;4
32;1
32;3
32;4
33;1
33;3
33;4
34;1
34;3
34;4
35;1
35;3
35;4
36;1
36;3
36;4
37;1
37;3
37;4
38;1
38;3
38;4
39;1
39;3
39;4
40;1
40;3
40;4
41;1
41;3
41;4
42;1
42;3
42;4
43;1
43;3
43;4
44;1
44;3
44;4
45;1
45;3
45;4
46;1
46;3
46;4
47;1
47;3
47;4
48;1
48;3
48;4
49;1
49;3
49;4
50;1
50;2
50;3
50;4
51;1
51;3
51;4
52;1
52;3
52;4
53;1
53;3
53;4
54;1
54;3
54;4
55;1
55;3
55;4
56;1
56;3
56;4
57;1
57;3
57;4
58;1
58;3
58;4
59;1
59;3
59;4
60;1
60;3
60;4
