id;abbreviation;short_name;long_name;description;kortnamn;korvaava_koodi;langt_namn;maakunta;sairaanhoitopiiri
# https://yhteistyotilat.fi/wiki08/display/THLKA/THL:n+avoimen+datan+lisenssi+ja+vastuuvapauslauseke
000;Tunnistamaton;Tunnistamaton;000 Tunnistamaton;Käytetään tilanteissa, jossa VRK on muuttanut kuntakoodin 000:ksi. Kun henkilöllä on turvakielto tai henkilö on kuollut niin VRK muuttaa kuntakoodiksi 000. Kanta-palvelussa potilasasiakirjan kuvailutiedoissa on kunta-tieto pakollinen, joten hyväksytään luokituksessa myös kuntakoodi 000.;Oigenkännlig;;000 Oigenkännlig;;
004;Alahärmä;Alahärmä;004 Alahärmä;;Alahärmä;233;004 Alahärmä;;
005;Alajärvi;Alajärvi;005 Alajärvi;;Alajärvi;;005 Alajärvi;14;15
006;Alastaro;Alastaro;006 Alastaro;;Alastaro;430;006 Alastaro;;
009;Alavieska;Alavieska;009 Alavieska;;Alavieska;;009 Alavieska;17;18
010;Alavus;Alavus;010 Alavus;;Alavus;;010 Alavus;14;15
014;Anttola;Anttola;014 Anttola;;Anttola;491;014 Anttola;;
015;Artjärvi;Artjärvi;015 Artjärvi;;Artsjö;560;015 Artsjö;;
016;Asikkala;Asikkala;016 Asikkala;;Asikkala;;016 Asikkala;07;07
017;Askainen;Askainen;017 Askainen;;Villnäs;481;017 Villnäs;;
018;Askola;Askola;018 Askola;;Askola;;018 Askola;01;25
019;Aura;Aura;019 Aura;;Aura;;019 Aura;02;03
020;Akaa;Akaa;020 Akaa;;Akaa;;020 Akaa;06;06
035;Brändö;Brändö;035 Brändö;;Brändö;;035 Brändö;21;22
040;Dragsfjärd;Dragsfjärd;040 Dragsfjärd;;Dragsfjärd;322;040 Dragsfjärd;;
043;Eckerö;Eckerö;043 Eckerö;;Eckerö;;043 Eckerö;21;22
044;Elimäki;Elimäki;044 Elimäki;;Elimäki;286;044 Elimäki;;
045;Eno;Eno;045 Eno;;Eno;167;045 Eno;;
046;Enonkoski;Enonkoski;046 Enonkoski;;Enonkoski;;046 Enonkoski;10;11
047;Enontekiö;Enontekiö;047 Enontekiö;;Enontekis;;047 Enontekis;19;21
049;Espoo;Espoo;049 Espoo;;Esbo;;049 Esbo;01;25
050;Eura;Eura;050 Eura;;Eura;;050 Eura;04;04
051;Eurajoki;Eurajoki;051 Eurajoki;;Euraåminne;;051 Euraåminne;04;04
052;Evijärvi;Evijärvi;052 Evijärvi;;Evijärvi;;052 Evijärvi;14;15
060;Finström;Finström;060 Finström;;Finström;;060 Finström;21;22
061;Forssa;Forssa;061 Forssa;;Forssa;;061 Forssa;05;05
062;Föglö;Föglö;062 Föglö;;Föglö;;062 Föglö;21;22
065;Geta;Geta;065 Geta;;Geta;;065 Geta;21;22
069;Haapajärvi;Haapajärvi;069 Haapajärvi;;Haapajärvi;;069 Haapajärvi;17;18
071;Haapavesi;Haapavesi;071 Haapavesi;;Haapavesi;;071 Haapavesi;17;18
072;Hailuoto;Hailuoto;072 Hailuoto;;Karlö;;072 Karlö;17;18
073;Halikko;Halikko;073 Halikko;;Halikko;734;073 Halikko;;
074;Halsua;Halsua;074 Halsua;;Halsua;;074 Halsua;16;17
075;Hamina;Hamina;075 Hamina;;Fredrikshamn;;075 Fredrikshamn;08;08
076;Hammarland;Hammarland;076 Hammarland;;Hammarland;;076 Hammarland;21;22
077;Hankasalmi;Hankasalmi;077 Hankasalmi;;Hankasalmi;;077 Hankasalmi;13;14
078;Hanko;Hanko;078 Hanko;;Hangö;;078 Hangö;01;25
