id;voimassaolo_alkaa;voimassaolo_paattyy;erikoisala
1;2020-09-23;2020-09-22;feed Beauty Dynamic
2;2020-09-23;2020-09-22;turquoise Managed programming
3;2020-09-22;2020-09-23;Small USB
4;2020-09-22;2020-09-22;intuitive benchmark Garden
5;2020-09-23;2020-09-23;Orchestrator mobile Baby
6;2020-09-23;2020-09-22;Congolese Franc Hat revolutionize
7;2020-09-22;2020-09-23;Small Shirt Manat
8;2020-09-23;2020-09-23;Functionality
9;2020-09-22;2020-09-22;Manager reboot platforms
10;2020-09-22;2020-09-23;orchestrate Home Loan Account Quetzal
