organization_id;abbreviation;long_name;parent_id;hierarchy_level;beginning_date;expiring_date;last_modified_date;description;oid;cost_center;post_address;street_address;post_number;post_office;phone_number;fax_number;created_date
1.2.246.10.XXXXXXXX.10.1;Organisaation lyhenne 1;Organisaation nimi 1;;0;2019-10-22;2029-10-21;2020-10-21;Kuvaus 1;;;Postiosoite 1;Katuosoite 1;10000;Oulu;123456789;;2020-10-22
1.2.246.10.XXXXXXXX.10.2;Organisaation lyhenne 2;Organisaation nimi 2;1.2.246.10.XXXXXXXX.10.1;1;2019-10-22;2029-10-21;2020-10-21;Kuvaus 2;;;Postiosoite 2;Katuosoite 2;10000;Oulu;123456789;;2020-10-22
1.2.246.10.XXXXXXXX.10.3;Organisaation lyhenne 3;Organisaation nimi 3;1.2.246.10.XXXXXXXX.10.1;1;2019-10-22;2029-10-21;2020-10-21;Kuvaus 3;;;Postiosoite 3;Katuosoite 3;10000;Oulu;123456789;;2020-10-22
1.2.246.10.XXXXXXXX.10.4;Organisaation lyhenne 4;Organisaation nimi 4;1.2.246.10.XXXXXXXX.10.1;1;2019-10-22;2029-10-22;2020-10-22;Kuvaus 4;;;Postiosoite 4;Katuosoite 4;10000;Tampere;123456789;;2020-10-21
1.2.246.10.XXXXXXXX.10.5;Organisaation lyhenne 5;Organisaation nimi 5;1.2.246.10.XXXXXXXX.10.1;1;2019-10-22;2029-10-21;2020-10-21;Kuvaus 5;;;Postiosoite 5;Katuosoite 5;10000;Tampere;123456789;;2020-10-21
1.2.246.10.XXXXXXXX.10.6;Organisaation lyhenne 6;Organisaation nimi 6;1.2.246.10.XXXXXXXX.10.1;1;2019-10-21;2029-10-21;2020-10-21;Kuvaus 6;;;Postiosoite 6;Katuosoite 6;10000;Tampere;123456789;;2020-10-22
1.2.246.10.XXXXXXXX.10.7;Organisaation lyhenne 7;Organisaation nimi 7;1.2.246.10.XXXXXXXX.10.1;1;2019-10-21;2029-10-22;2020-10-21;Kuvaus 7;;;Postiosoite 7;Katuosoite 7;10000;Tampere;123456789;;2020-10-21
1.2.246.10.XXXXXXXX.10.8;Organisaation lyhenne 8;Organisaation nimi 8;1.2.246.10.XXXXXXXX.10.1;1;2019-10-22;2029-10-21;2020-10-22;Kuvaus 8;;;Postiosoite 8;Katuosoite 8;10000;Helsinki;123456789;;2020-10-22
1.2.246.10.XXXXXXXX.10.9;Organisaation lyhenne 9;Organisaation nimi 9;1.2.246.10.XXXXXXXX.10.1;1;2019-10-21;2029-10-22;2020-10-22;Kuvaus 9;;;Postiosoite 9;Katuosoite 9;10000;Tampere;123456789;;2020-10-22
1.2.246.10.XXXXXXXX.10.10;Organisaation lyhenne 10;Organisaation nimi 10;1.2.246.10.XXXXXXXX.10.1;1;2019-10-22;2029-10-22;2020-10-21;Kuvaus 10;;;Postiosoite 10;Katuosoite 10;10000;Tampere;123456789;;2020-10-21
