id;alkamispaiva;paattymispaiva;osaaikaprosentti;kaytannon_koulutus;reunakoulutuksen_nimi;hyvaksytty_aiempaan_erikoisalaan;tyoskentelypaikka_id;erikoistuva_laakari_id
1;2020-09-22;2020-09-23;70;TUTKIMUSTYO;;false;1;1
2;2020-09-23;2020-09-22;95;REUNAKOULUTUS;reunakoulutus;false;2;2
3;2020-09-22;2020-09-23;79;TUTKIMUSTYO;;false;3;3
4;2020-09-22;2020-09-22;95;TUTKIMUSTYO;;false;4;1
5;2020-09-23;2020-09-22;71;TUTKIMUSTYO;;false;5;1
6;2020-09-22;2020-09-23;50;TUTKIMUSTYO;;false;6;1
7;2020-09-22;2020-09-23;81;TUTKIMUSTYO;;false;7;1
8;2020-09-22;2020-09-23;100;TUTKIMUSTYO;;false;8;1
9;2020-09-22;2020-09-23;61;TUTKIMUSTYO;;false;9;1
10;2020-09-22;2020-09-22;50;OMAN_ERIKOISALAN_KOULUTUS;;false;10;1
